time_s,x_mm,y_mm,z_mm,velocity_mms,acceleration_mms2
3.9459,1.4226,0.0000,-0.1575,0.9753,-0.4186
3.9671,1.4438,0.0000,-0.1575,0.9994,1.1377
3.9887,1.4647,0.0000,-0.1575,0.9662,-1.5362
4.0097,1.4858,0.0000,-0.1575,1.0041,1.7995
4.0311,1.5066,0.0000,-0.1575,0.9705,-1.5686
4.0520,1.5276,0.0000,-0.1575,1.0084,1.8184
4.0731,1.5486,0.0000,-0.1575,0.9921,-0.7748
4.0942,1.5691,0.0000,-0.1575,0.9716,-0.9692
4.1153,1.5897,0.0000,-0.1575,0.9783,0.3193
4.1368,1.6105,0.0000,-0.1575,0.9664,-0.5557
4.1581,1.6315,0.0000,-0.1575,0.9878,1.0025
4.1796,1.6525,0.0000,-0.1575,0.9737,-0.6525
4.2010,1.6736,0.0000,-0.1575,0.9865,0.5979
4.2226,1.6946,0.0000,-0.1575,0.9767,-0.4589
4.2439,1.7158,0.0000,-0.1575,0.9911,0.6766
4.2662,1.7368,0.0000,-0.1575,0.9443,-2.1007
4.2878,1.7586,0.0000,-0.1575,1.0068,2.8939
4.3090,1.7799,0.0000,-0.1575,1.0015,-0.2478
4.3303,1.8009,0.0000,-0.1575,0.9849,-0.7777
4.3516,1.8218,0.0000,-0.1575,0.9824,-0.1172
4.3728,1.8427,0.0000,-0.1575,0.9852,0.1278
4.3946,1.8636,0.0000,-0.1575,0.9608,-1.1217
4.4159,1.8850,0.0000,-0.1575,1.0023,1.9456
4.4372,1.9060,0.0000,-0.1575,0.9879,-0.6773
4.4584,1.9269,0.0000,-0.1575,0.9867,-0.0530
4.4802,1.9478,0.0000,-0.1575,0.9596,-1.2478
4.5015,1.9691,0.0000,-0.1575,0.9984,1.8188
4.5224,1.9901,0.0000,-0.1575,1.0022,0.1836
4.5439,2.0108,0.0000,-0.1575,0.9686,-1.5693
4.5654,2.0318,0.0000,-0.1575,0.9711,0.1152
4.5874,2.0529,0.0000,-0.1575,0.9645,-0.2987
4.6090,2.0743,0.0000,-0.1575,0.9928,1.3123
4.6302,2.0957,0.0000,-0.1575,1.0031,0.4852
4.6514,2.1167,0.0000,-0.1575,0.9902,-0.6123
4.6727,2.1375,0.0000,-0.1575,0.9799,-0.4832
4.6937,2.1587,0.0000,-0.1575,1.0084,1.3556
4.7151,2.1792,0.0000,-0.1575,0.9576,-2.3771
4.7364,2.2001,0.0000,-0.1575,0.9829,1.1942
4.7580,2.2211,0.0000,-0.1575,0.9715,-0.5297
4.7794,2.2421,0.0000,-0.1575,0.9814,0.4600
4.8006,2.2633,0.0000,-0.1575,1.0019,0.9692
4.8222,2.2842,0.0000,-0.1575,0.9636,-1.7678
4.8435,2.3054,0.0000,-0.1575,0.9957,1.5085
4.8651,2.3264,0.0000,-0.1575,0.9748,-0.9682
4.8859,2.3476,0.0000,-0.1575,1.0171,2.0327
4.9073,2.3682,0.0000,-0.1575,0.9673,-2.3352
4.9286,2.3891,0.0000,-0.1575,0.9785,0.5247
4.9499,2.4100,0.0000,-0.1575,0.9775,-0.0462
4.9711,2.4310,0.0000,-0.1575,0.9955,0.8517
4.9924,2.4519,0.0000,-0.1575,0.9780,-0.8229
5.0136,2.4729,0.0000,-0.1575,0.9880,0.4748
5.0352,2.4937,0.0000,-0.1575,0.9671,-0.9727
5.0565,2.5148,0.0000,-0.1575,0.9895,1.0472
5.0777,2.5358,0.0000,-0.1575,0.9918,0.1097
5.0995,2.5567,0.0000,-0.1575,0.9574,-1.5808
5.1207,2.5780,0.0000,-0.1575,1.0047,2.2320
5.1419,2.5990,0.0000,-0.1575,0.9883,-0.7725
5.1633,2.6198,0.0000,-0.1575,0.9735,-0.6916
5.1849,2.6410,0.0000,-0.1575,0.9841,0.4937
5.2065,2.6620,0.0000,-0.1575,0.9677,-0.7557
5.2278,2.6832,0.0000,-0.1575,0.9964,1.3439
5.2494,2.7042,0.0000,-0.1575,0.9752,-0.9819
5.2703,2.7254,0.0000,-0.1575,1.0140,1.8609
5.2916,2.7460,0.0000,-0.1575,0.9700,-2.0682
5.3131,2.7669,0.0000,-0.1575,0.9692,-0.0397
5.3348,2.7880,0.0000,-0.1575,0.9740,0.2234
5.3561,2.8093,0.0000,-0.1575,0.9958,1.0182
5.3777,2.8303,0.0000,-0.1575,0.9741,-1.0017
5.3992,2.8516,0.0000,-0.1575,0.9923,0.8509
5.4202,2.8727,0.0000,-0.1575,1.0020,0.4600
5.4414,2.8934,0.0000,-0.1575,0.9810,-0.9975
5.4629,2.9142,0.0000,-0.1575,0.9627,-0.8470
5.4844,2.9354,0.0000,-0.1575,0.9870,1.1329
5.5059,2.9564,0.0000,-0.1575,0.9789,-0.3786
5.5271,2.9776,0.0000,-0.1575,0.9984,0.9206
