time_s,cx_px,cy_px,tx_mm,ty_mm,tz_mm
1.7455,213.50,161.50,0.0000,0.0000,
1.8151,213.50,161.50,0.0000,-0.0000,
1.8265,213.75,161.50,0.2499,-0.0000,
1.8888,213.75,161.50,0.2499,-0.0000,
1.9685,213.50,161.75,0.0000,-0.2499,
2.0328,213.50,162.25,0.0000,-0.7496,
2.0973,213.50,163.00,0.0000,-1.4992,
2.1606,213.50,163.75,0.0000,-2.2488,
2.2245,213.75,164.75,0.2499,-3.2482,
2.2888,213.75,165.50,0.2499,-3.9978,
2.3683,213.75,165.50,0.2499,-3.9978,
2.4327,213.75,165.50,0.2499,-3.9978,
2.4965,213.75,165.50,0.2499,-3.9978,
2.5606,214.50,165.50,0.9994,-3.9978,
2.6245,216.00,165.50,2.4986,-3.9978,
2.6885,217.75,165.50,4.2476,-3.9978,
2.7683,219.50,165.50,5.9967,-3.9978,
2.8323,221.50,165.50,7.9956,-3.9978,
2.8963,222.75,165.50,9.2449,-3.9978,
2.9606,224.75,165.50,11.2438,-3.9978,
3.0246,226.75,165.50,13.2426,-3.9978,
3.0886,228.50,165.25,14.9917,-3.7479,
3.1687,229.75,165.25,16.2410,-3.7479,
3.2327,231.50,165.00,17.9900,-3.4981,
3.2966,233.50,164.75,19.9889,-3.2482,
3.3606,235.00,164.75,21.4881,-3.2482,
3.4245,236.75,164.75,23.2371,-3.2482,
3.4885,238.50,164.50,24.9861,-2.9983,
3.5686,240.25,164.50,26.7352,-2.9983,
3.6326,241.75,164.75,28.2343,-3.2482,
3.6965,243.50,164.50,29.9833,-2.9983,
3.7607,245.50,164.50,31.9822,-2.9983,
3.8246,247.25,164.50,33.7313,-2.9983,
3.8886,248.75,164.50,35.2304,-2.9983,
3.9686,250.50,164.50,36.9795,-2.9983,
4.0324,252.50,164.50,38.9784,-2.9983,
4.0966,254.00,164.50,40.4775,-2.9983,
4.1606,255.75,164.50,42.2265,-2.9983,
4.2246,257.75,164.50,44.2254,-2.9983,
4.2885,259.25,164.25,45.7246,-2.7485,
4.3686,260.75,164.25,47.2238,-2.7485,
4.4327,262.50,164.25,48.9728,-2.7485,
4.4966,264.25,163.50,50.7218,-1.9989,
4.5608,266.00,163.75,52.4709,-2.2488,
4.6246,267.50,164.00,53.9700,-2.4986,
4.6886,269.50,163.50,55.9689,-1.9989,
4.7685,271.50,163.50,57.9678,-1.9989,
4.8326,273.25,163.50,59.7168,-1.9989,
4.8966,274.50,163.50,60.9661,-1.9989,
4.9607,276.50,163.50,62.9650,-1.9989,
5.0246,278.25,163.50,64.7141,-1.9989,
5.0886,279.75,163.50,66.2132,-1.9989,
5.1686,281.50,163.50,67.9622,-1.9989,
5.2325,283.50,163.50,69.9611,-1.9989,
5.2969,285.25,163.50,71.7102,-1.9989,
5.3606,287.00,163.50,73.4592,-1.9989,
5.4246,288.50,163.25,74.9584,-1.7490,
5.4886,290.25,163.00,76.7074,-1.4992,
5.5686,291.75,162.75,78.2066,-1.2493,
5.6326,293.50,163.00,79.9556,-1.4992,
5.6974,295.50,162.50,81.9545,-0.9994,
5.7609,297.00,162.50,83.4537,-0.9994,
5.8247,298.75,162.50,85.2027,-0.9994,
5.8891,300.50,162.50,86.9517,-0.9994,
5.9686,302.50,162.50,88.9506,-0.9994,
6.0328,304.00,162.50,90.4498,-0.9994,
6.0973,305.50,162.75,91.9489,-1.2493,
6.1608,307.50,162.50,93.9478,-0.9994,
6.2246,309.50,162.25,95.9467,-0.7496,
6.2886,311.25,162.50,97.6957,-0.9994,
6.3694,312.75,162.50,99.1949,-0.9994,
6.4326,314.25,162.50,100.6941,-0.9994,
6.4969,316.00,162.00,102.4431,-0.4997,
6.5610,318.00,162.00,104.4420,-0.4997,
6.6246,319.50,162.00,105.9412,-0.4997,
6.6887,321.25,161.75,107.6902,-0.2499,
6.7684,322.75,161.75,109.1894,-0.2499,
6.8326,324.75,161.75,111.1882,-0.2499,
6.8966,326.50,161.75,112.9373,-0.2499,
6.9606,328.00,161.75,114.4364,-0.2499,
7.0245,330.00,161.50,116.4353,-0.0000,
7.0887,331.75,161.50,118.1844,-0.0000,
7.1687,333.50,161.50,119.9334,-0.0000,
7.2327,335.25,161.50,121.6824,-0.0000,
