time_s,cx_px,cy_px,tx_mm,ty_mm,tz_mm
5.7503,299.25,162.75,86.1337,-1.2593,30.0083
5.7824,300.50,162.50,87.3930,-1.0074,30.0167
5.8305,301.50,162.50,88.4004,-1.0074,30.0167
5.8786,302.50,162.50,89.4078,-1.0074,30.0167
5.9104,303.50,162.50,90.4152,-1.0074,30.0167
5.9585,304.50,162.50,91.4226,-1.0074,30.0167
5.9904,305.50,162.50,92.4300,-1.0074,30.0167
6.0384,306.50,162.50,93.4374,-1.0074,30.0167
6.0864,308.00,162.50,94.9485,-1.0074,30.0083
6.1184,309.00,162.50,95.9560,-1.0074,30.0083
6.1662,310.25,162.50,97.2152,-1.0074,29.7626
6.1985,311.25,162.50,98.2226,-1.0074,29.7626
6.2466,312.25,162.50,99.2300,-1.0074,29.7626
6.2944,313.25,162.50,100.2375,-1.0074,29.7626
6.3264,314.25,161.75,101.2449,-0.2519,29.5085
6.3745,315.25,162.25,102.2523,-0.7556,29.5085
6.4064,316.50,162.00,103.5115,-0.5037,29.5000
6.4544,317.75,162.25,104.7708,-0.7556,29.5085
6.5025,318.75,162.00,105.7782,-0.5037,29.2542
6.5345,320.00,162.00,107.0375,-0.5037,30.0000
6.5824,320.75,161.75,107.7930,-0.2519,30.0083
6.6305,321.75,161.75,108.8005,-0.2519,30.0083
6.6625,322.75,161.75,109.8079,-0.2519,30.0083
6.7105,323.75,161.75,110.8153,-0.2519,30.0083
6.7423,325.00,161.75,112.0745,-0.2519,30.2542
6.7905,326.00,161.75,113.0820,-0.2519,30.2542
6.8385,327.25,161.75,114.3412,-0.2519,30.0083
6.8704,328.50,161.50,115.6005,-0.0000,30.0167
6.9187,329.25,161.50,116.3560,-0.0000,29.7626
6.9504,330.50,161.50,117.6153,-0.0000,30.0167
6.9985,331.50,161.75,118.6227,-0.2519,29.7793
7.0465,332.50,161.75,119.6301,-0.2519,29.7793
7.0786,334.00,161.50,121.1412,-0.0000,30.0083
7.1264,335.00,161.50,122.1487,-0.0000,30.0083
7.1587,336.25,161.50,123.4079,-0.0000,29.7626
7.2064,337.00,161.50,124.1635,-0.0000,30.0083
7.2545,338.25,161.50,125.4227,-0.0000,29.7626
7.2864,339.25,161.50,126.4302,-0.0000,29.7626
7.3344,340.25,161.50,127.4376,-0.0000,29.7626
7.3665,341.25,161.50,128.4450,-0.0000,29.7626
7.4145,342.25,161.50,129.4524,-0.0000,29.7626
7.4624,343.75,161.50,130.9635,-0.0000,29.7628
7.4946,344.75,161.50,131.9709,-0.0000,29.7793
7.5425,346.00,161.00,133.2302,0.5037,30.0000
7.5743,347.00,161.00,134.2376,0.5037,30.0000
7.6226,348.00,161.00,135.2450,0.5037,30.0000
7.6705,349.00,161.00,136.2524,0.5037,30.0000
