time_s,cx_px,cy_px,tx_mm,ty_mm,tz_mm
1.6199,213.75,161.50,0.0000,0.0000,29.7793
1.6832,213.50,161.50,-0.2519,-0.0000,30.0167
1.7471,213.50,161.50,-0.2519,-0.0000,30.0167
1.8274,213.25,161.75,-0.5037,-0.2519,30.0246
1.8913,213.50,162.50,-0.2519,-1.0074,30.0167
1.9553,213.75,163.50,0.0000,-2.0148,29.7793
2.0191,213.50,164.25,-0.2519,-2.7704,29.7626
2.0831,213.75,164.75,0.0000,-3.2741,30.0248
2.1471,213.75,165.50,0.0000,-4.0296,29.7793
2.2272,213.75,165.50,0.0000,-4.0296,29.7793
2.2918,213.75,165.50,0.0000,-4.0296,29.7793
2.3551,213.75,165.50,0.0000,-4.0296,29.7793
2.4191,214.50,165.50,0.7556,-4.0296,30.0167
2.4831,216.00,165.75,2.2667,-4.2815,29.8047
2.5471,217.75,165.50,4.0296,-4.0296,29.7793
2.6275,219.50,165.50,5.7926,-4.0296,30.0167
2.6910,221.75,165.50,8.0593,-4.0296,29.7793
2.7552,223.00,165.50,9.3186,-4.0296,30.0250
2.8191,224.75,165.50,11.0815,-4.0296,29.7793
2.8832,226.75,165.50,13.0964,-4.0296,29.7793
2.9477,228.50,165.00,14.8593,-3.5259,30.0083
3.0274,230.00,165.25,16.3704,-3.7778,29.7713
3.0911,231.50,165.00,17.8816,-3.5259,30.0083
3.1551,233.25,164.50,19.6445,-3.0222,29.7793
3.2192,235.00,164.75,21.4075,-3.2741,29.8047
3.2836,236.75,165.00,23.1705,-3.5259,29.7879
3.3477,238.25,164.50,24.6816,-3.0222,29.7793
3.4276,240.50,164.50,26.9483,-3.0222,30.0167
3.4918,241.75,165.00,28.2075,-3.5259,29.7879
3.5551,243.75,164.50,30.2223,-3.0222,29.7793
3.6192,245.50,164.50,31.9853,-3.0222,30.0167
3.6831,247.50,164.50,34.0001,-3.0222,30.0167
3.7473,249.00,164.50,35.5113,-3.0222,30.0250
3.8276,250.75,164.50,37.2742,-3.0222,29.7793
3.8911,252.50,164.50,39.0372,-3.0222,30.0167
3.9553,254.50,164.25,41.0520,-2.7704,29.7543
4.0192,255.75,164.50,42.3113,-3.0222,29.7793
4.0834,257.75,164.50,44.3261,-3.0222,29.7793
4.1471,259.50,164.00,46.0891,-2.5185,29.5000
4.2276,261.25,164.25,47.8521,-2.7704,30.0083
4.2912,262.50,164.25,49.1113,-2.7704,29.7626
4.3556,264.25,163.50,50.8743,-2.0148,29.7793
4.4192,266.25,163.50,52.8891,-2.0148,29.7793
4.4830,267.75,164.00,54.4002,-2.5185,29.7879
4.5471,269.50,163.75,56.1632,-2.2667,29.7793
4.6271,271.50,163.50,58.1780,-2.0148,30.0167
4.6913,273.25,163.50,59.9410,-2.0148,29.7626
4.7549,274.50,163.75,61.2003,-2.2667,29.7793
4.8191,276.50,163.50,63.2151,-2.0148,30.0167
4.8831,278.50,163.50,65.2299,-2.0148,30.0167
4.9470,280.00,163.75,66.7410,-2.2667,29.7876
5.0272,281.50,163.50,68.2521,-2.0148,30.0167
5.0911,283.50,163.50,70.2670,-2.0148,30.0167
5.1552,285.25,163.50,72.0299,-2.0148,29.7626
5.2191,286.75,163.50,73.5410,-2.0148,29.7706
5.2831,288.50,163.25,75.3040,-1.7630,29.7626
5.3472,290.25,163.00,77.0670,-1.5111,29.7542
5.4273,292.00,163.00,78.8300,-1.5111,30.0000
5.4912,293.50,163.00,80.3411,-1.5111,30.0250
5.5552,295.50,162.50,82.3559,-1.0074,30.0167
5.6192,297.25,162.50,84.1189,-1.0074,29.7793
5.6832,298.75,162.50,85.6300,-1.0074,29.7626
5.7470,300.50,162.50,87.3930,-1.0074,30.0167
5.8272,302.50,162.50,89.4078,-1.0074,30.0167
5.8912,304.25,162.50,91.1708,-1.0074,29.7626
5.9553,305.75,162.50,92.6819,-1.0074,29.7626
6.0192,307.50,162.50,94.4448,-1.0074,30.0167
6.0831,309.50,162.25,96.4597,-0.7556,29.7793
6.1472,311.25,162.50,98.2226,-1.0074,29.7626
6.2272,313.00,162.75,99.9856,-1.2593,29.7876
6.2912,314.75,162.50,101.7486,-1.0074,29.7793
6.3552,316.25,162.00,103.2597,-0.5037,29.7542
6.4193,318.25,162.00,105.2745,-0.5037,29.7542
6.4832,320.00,162.00,107.0375,-0.5037,30.0000
6.5472,321.00,161.75,108.0449,-0.2519,29.7625
6.6273,322.75,161.75,109.8079,-0.2519,30.0083
6.6915,324.75,161.75,111.8227,-0.2519,30.0083
6.7552,326.50,161.75,113.5857,-0.2519,29.7793
6.8193,328.50,161.50,115.6005,-0.0000,30.0167
6.8833,330.00,161.50,117.1116,-0.0000,30.0083
6.9471,332.00,161.50,119.1264,-0.0000,30.0083
7.0275,333.50,161.50,120.6375,-0.0000,30.0167
7.0912,335.25,161.50,122.4005,-0.0000,29.7626
7.1552,337.00,161.50,124.1635,-0.0000,30.0083
7.2191,339.00,161.50,126.1783,-0.0000,30.0083
7.2832,340.50,161.25,127.6894,0.2519,29.7793
7.3473,342.25,161.50,129.4524,-0.0000,29.7626
7.4273,344.25,161.00,131.4672,0.5037,29.7542
7.4913,345.75,161.00,132.9783,0.5037,29.7542
7.5552,347.25,161.00,134.4894,0.5037,29.7542
7.6193,349.00,161.00,136.2524,0.5037,30.0000
7.6832,350.75,160.75,138.0154,0.7556,30.0083
7.7473,352.50,160.75,139.7784,0.7556,29.7793
7.8278,354.00,161.00,141.2895,0.5037,30.0166
7.8914,356.00,160.50,143.3043,1.0074,30.0083
7.9553,358.00,160.50,145.3191,1.0074,30.0083
8.0192,359.50,160.75,146.8302,0.7556,29.7793
8.0832,361.00,160.50,148.3414,1.0074,30.0083
8.1473,363.00,160.50,150.3562,1.0074,30.0083
8.2273,365.00,160.50,152.3710,1.0074,30.0083
8.2913,366.50,160.50,153.8821,1.0074,29.5419
8.3552,368.00,160.50,155.3932,1.0074,30.0083
8.4192,370.00,160.50,157.4081,1.0074,30.0083
8.4833,372.00,160.25,159.4229,1.2593,29.7625
8.5475,373.50,160.25,160.9340,1.2593,29.7626
8.6273,375.25,160.00,162.6970,1.5111,29.7542
8.6913,377.00,160.00,164.4599,1.5111,30.0000
8.7552,378.50,160.00,165.9711,1.5111,30.0083
8.8191,380.00,160.00,167.4822,1.5111,30.0166
8.8834,382.00,159.50,169.4970,2.0148,30.0083
8.9470,383.75,159.50,171.2600,2.0148,29.7626
9.0272,385.25,159.50,172.7711,2.0148,29.7626
9.0917,387.00,159.50,174.5341,2.0148,30.0083
9.1554,389.00,159.50,176.5489,2.0148,30.0083
9.2194,391.00,159.50,178.5637,2.0148,30.0083
9.2835,392.25,159.50,179.8230,2.0148,29.7626
9.3474,394.00,159.50,181.5859,2.0148,30.0083
9.4272,396.00,159.50,183.6008,2.0148,30.0083
9.4913,398.00,159.00,185.6156,2.5185,30.0166
9.5554,399.25,159.25,186.8748,2.2667,29.5086
9.6193,401.25,159.00,188.8897,2.5185,29.7542
9.6835,403.25,159.00,190.9045,2.5185,29.7542
9.7473,404.50,159.00,192.1638,2.5185,30.0083
