time_s,cx_px,cy_px,tx_mm,ty_mm,tz_mm
1.5797,213.50,161.50,0.0000,0.0000,30.0167
1.6189,213.75,161.50,0.2499,-0.0000,29.7793
1.6435,213.50,161.50,0.0000,-0.0000,30.0167
1.6756,213.50,161.50,0.0000,-0.0000,30.0167
1.7074,213.50,161.75,0.0000,-0.2499,30.2624
1.7398,213.50,161.75,0.0000,-0.2499,30.2624
1.7715,213.25,161.75,-0.2499,-0.2499,30.0246
1.8035,213.75,162.50,0.2499,-0.9994,29.7793
1.8353,213.50,162.50,0.0000,-0.9994,30.0167
1.8676,213.25,162.75,-0.2499,-1.2493,30.0246
1.9156,213.75,163.50,0.2499,-1.9989,29.7793
1.9476,213.50,163.75,0.0000,-2.2488,30.2624
1.9795,213.75,164.50,0.2499,-2.9983,29.7793
2.0116,213.75,164.75,0.2499,-3.2482,30.0248
2.0436,213.75,164.75,0.2499,-3.2482,30.0085
2.0756,213.75,165.50,0.2499,-3.9978,29.7793
2.1076,213.75,165.50,0.2499,-3.9978,29.7793
2.1394,213.75,165.50,0.2499,-3.9978,29.7793
2.1716,213.75,165.75,0.2499,-4.2476,30.0248
2.2036,213.75,165.75,0.2499,-4.2476,30.0248
2.2354,213.75,165.75,0.2499,-4.2476,30.0248
2.2675,213.75,165.75,0.2499,-4.2476,30.0248
2.3155,213.75,165.75,0.2499,-4.2476,30.0248
2.3475,214.50,165.50,0.9994,-3.9978,30.0167
2.3795,215.25,165.50,1.7490,-3.9978,30.2790
2.4114,216.00,165.50,2.4986,-3.9978,30.0416
2.4435,216.75,165.50,3.2482,-3.9978,29.7793
2.4756,217.50,165.50,3.9978,-3.9978,30.0167
2.5073,218.50,165.50,4.9972,-3.9978,30.0167
2.5395,219.50,165.50,5.9967,-3.9978,30.0167
2.5716,220.50,165.50,6.9961,-3.9978,30.0167
2.6036,221.50,165.50,7.9956,-3.9978,30.0167
2.6356,222.00,165.50,8.4953,-3.9978,30.0416
2.6676,222.75,165.50,9.2449,-3.9978,29.7793
2.7156,223.75,165.50,10.2443,-3.9978,29.7793
2.7475,224.75,165.50,11.2438,-3.9978,29.7793
2.7797,225.75,165.50,12.2432,-3.9978,29.7793
2.8114,226.50,165.50,12.9928,-3.9978,30.0167
2.8435,227.50,165.25,13.9922,-3.7479,29.7793
2.8756,228.50,165.25,14.9917,-3.7479,29.8130
2.9073,229.00,165.50,15.4914,-3.9978,30.0250
2.9394,229.50,165.25,15.9911,-3.7479,29.7626
2.9716,230.50,165.25,16.9906,-3.7479,29.7626
3.0036,231.50,165.25,17.9900,-3.7479,29.7626
3.0356,232.25,164.75,18.7396,-3.2482,30.0246
3.0675,233.50,164.75,19.9889,-3.2482,29.7626
3.1156,234.25,165.00,20.7385,-3.4981,29.7797
3.1476,234.75,165.00,21.2382,-3.4981,29.7879
3.1796,235.75,165.25,22.2376,-3.7479,30.0083
3.2116,236.25,164.75,22.7374,-3.2482,30.0246
3.2436,237.25,164.50,23.7368,-2.9983,29.7793
3.2756,238.25,164.50,24.7363,-2.9983,29.7793
3.3074,239.25,164.50,25.7357,-2.9983,29.7793
3.3394,240.00,164.75,26.4853,-3.2482,29.8047
3.3717,240.75,164.75,27.2349,-3.2482,30.0248
3.4038,241.75,164.75,28.2343,-3.2482,30.0248
3.4356,242.75,164.75,29.2338,-3.2482,30.0248
3.4676,243.50,164.50,29.9833,-2.9983,30.0167
3.5156,244.50,164.50,30.9828,-2.9983,30.0167
3.5477,245.50,164.50,31.9822,-2.9983,30.0167
3.5796,246.50,164.50,32.9817,-2.9983,30.0167
3.6114,247.00,164.50,33.4814,-2.9983,30.0250
3.6596,248.00,165.00,34.4809,-3.4981,29.5083
3.6913,249.00,164.75,35.4803,-3.2482,29.7876
3.7394,250.50,164.50,36.9795,-2.9983,30.0167
3.7880,251.50,164.50,37.9789,-2.9983,30.0167
3.8196,252.50,164.50,38.9784,-2.9983,30.0167
3.8678,253.50,164.50,39.9778,-2.9983,30.0167
3.8997,254.75,164.50,41.2271,-2.9983,29.7793
3.9475,255.75,164.50,42.2265,-2.9983,29.7793
3.9956,256.75,164.50,43.2260,-2.9983,29.7793
4.0276,257.75,164.50,44.2254,-2.9983,29.7793
4.0756,258.75,164.50,45.2249,-2.9983,29.7793
4.1076,259.75,164.50,46.2243,-2.9983,29.7793
4.1556,261.00,164.25,47.4736,-2.7485,29.7713
4.2036,262.00,164.25,48.4731,-2.7485,29.7713
4.2357,263.25,164.00,49.7224,-2.4986,29.7542
4.2836,264.25,163.50,50.7218,-1.9989,29.7793
4.3156,265.50,163.75,51.9711,-2.2488,29.7626
4.3636,266.25,163.50,52.7207,-1.9989,29.7793
4.4114,267.25,163.50,53.7202,-1.9989,29.7793
4.4436,268.25,163.50,54.7196,-1.9989,29.7793
4.4916,269.50,163.50,55.9689,-1.9989,30.0167
4.5235,270.50,163.50,56.9684,-1.9989,30.0167
4.5716,271.50,163.50,57.9678,-1.9989,30.0167
4.6197,272.50,163.50,58.9673,-1.9989,30.0167
4.6514,273.50,163.75,59.9667,-2.2488,29.7793
4.6996,274.75,163.50,61.2160,-1.9989,29.7626
4.7317,276.25,163.50,62.7152,-1.9989,29.7626
4.7794,277.25,163.50,63.7146,-1.9989,29.7626
4.8274,278.25,163.50,64.7141,-1.9989,29.7626
4.8596,279.50,163.50,65.9634,-1.9989,30.0167
4.9074,280.50,163.50,66.9628,-1.9989,30.0167
4.9394,281.50,163.50,67.9622,-1.9989,30.0167
4.9875,282.50,163.50,68.9617,-1.9989,30.0167
5.0356,283.50,163.50,69.9611,-1.9989,30.0167
5.0674,284.50,163.50,70.9606,-1.9989,30.0167
5.1155,285.75,163.50,72.2099,-1.9989,29.7793
5.1474,287.00,163.50,73.4592,-1.9989,30.0250
5.1956,288.00,163.00,74.4586,-1.4992,30.0000
5.2437,288.75,163.50,75.2082,-1.9989,29.7706
5.2757,290.00,162.75,76.4575,-1.2493,29.7542
5.3236,291.25,163.00,77.7068,-1.4992,29.7542
5.3556,292.00,162.75,78.4564,-1.2493,29.7625
5.4037,293.25,162.50,79.7057,-0.9994,29.7793
5.4517,294.25,162.75,80.7052,-1.2493,30.0083
5.4836,295.50,162.50,81.9545,-0.9994,30.0167
5.5314,296.50,162.50,82.9539,-0.9994,30.0167
5.5637,297.50,162.50,83.9534,-0.9994,30.0167
5.6114,298.50,162.50,84.9528,-0.9994,30.0167
5.6596,299.50,162.50,85.9523,-0.9994,30.0167
5.6916,300.50,162.75,86.9517,-1.2493,29.7793
5.7394,301.75,162.50,88.2010,-0.9994,29.7626
5.7876,303.00,162.50,89.4503,-0.9994,30.0083
5.8198,304.00,162.50,90.4498,-0.9994,30.0083
5.8676,305.25,162.50,91.6991,-0.9994,29.7626
5.8998,306.50,162.25,92.9484,-0.7496,29.7793
5.9477,307.50,162.25,93.9478,-0.7496,29.7793
5.9956,308.50,162.50,94.9473,-0.9994,30.0167
6.0277,309.50,162.50,95.9467,-0.9994,30.0167
6.0757,310.75,162.50,97.1960,-0.9994,29.7793
6.1074,311.50,162.50,97.9456,-0.9994,30.0167
6.1556,312.50,162.50,98.9450,-0.9994,30.0167
6.2037,313.75,162.75,100.1944,-1.2493,29.5423
6.2356,315.25,162.00,101.6935,-0.4997,29.7542
6.2841,316.25,162.00,102.6930,-0.4997,29.7542
6.3156,317.25,162.00,103.6924,-0.4997,29.7542
6.3636,318.00,162.00,104.4420,-0.4997,30.0000
6.4117,319.00,162.00,105.4414,-0.4997,30.0000
6.4436,320.25,161.75,106.6907,-0.2499,29.5085
6.4914,321.00,161.75,107.4403,-0.2499,29.7625
6.5235,322.00,161.75,108.4398,-0.2499,29.7625
6.5715,323.50,161.75,109.9389,-0.2499,29.7793
6.6196,324.50,161.75,110.9384,-0.2499,29.7793
6.6515,325.50,161.75,111.9378,-0.2499,29.7793
6.6996,326.50,161.75,112.9373,-0.2499,29.7793
6.7314,327.75,161.50,114.1866,-0.0000,29.7626
6.7796,329.00,161.50,115.4359,-0.0000,30.0083
6.8277,330.00,161.50,116.4353,-0.0000,30.0083
6.8597,331.00,161.50,117.4348,-0.0000,30.0083
6.9077,332.00,161.50,118.4342,-0.0000,30.0083
6.9394,333.25,161.50,119.6835,-0.0000,29.7626
6.9877,334.50,161.25,120.9328,0.2499,29.7793
7.0362,335.50,161.25,121.9323,0.2499,29.7793
7.0676,336.50,161.50,122.9317,-0.0000,30.0167
7.1156,337.50,161.75,123.9312,-0.2499,29.7793
7.1476,338.50,161.75,124.9306,-0.2499,29.7793
7.1956,340.00,161.50,126.4298,-0.0000,30.0083
7.2437,341.00,161.50,127.4292,-0.0000,30.0083
7.2756,342.00,161.50,128.4287,-0.0000,30.0083
7.3237,343.25,161.50,129.6780,-0.0000,29.7626
7.3558,344.25,161.50,130.6774,-0.0000,29.7626
7.4037,345.25,161.00,131.6769,0.4997,29.7542
7.4517,346.25,161.00,132.6763,0.4997,29.7542
7.4837,347.25,161.00,133.6758,0.4997,29.7542
7.5317,348.25,161.00,134.6752,0.4997,29.7542
7.5637,349.25,161.00,135.6747,0.4997,29.7542
7.6116,350.25,160.75,136.6741,0.7496,29.5423
7.6596,351.75,161.00,138.1733,0.4997,29.7542
7.6916,352.75,160.50,139.1727,0.9994,29.7626
7.7396,353.75,160.50,140.1721,0.9994,29.7626
7.7884,355.00,160.50,141.4214,0.9994,30.0083
7.8199,355.75,160.50,142.1710,0.9994,29.7626
7.8677,357.00,160.50,143.4203,0.9994,30.0083
7.8997,358.00,160.50,144.4198,0.9994,30.0083
7.9477,359.00,160.50,145.4192,0.9994,30.0083
7.9957,360.00,160.50,146.4187,0.9994,30.0083
8.0277,361.00,160.50,147.4181,0.9994,30.0083
8.0757,362.25,160.50,148.6674,0.9994,29.7626
