time_s,x_mm,y_mm,z_mm,velocity_mms,acceleration_mms2
1.7234,0.0000,0.0000,0.0000,0.0148,1.7129
1.7451,0.0000,0.0000,-0.0003,0.0148,1.7129
1.7665,0.0000,0.0000,-0.0014,0.0515,1.7129
1.7876,0.0000,0.0000,-0.0033,0.0900,1.8257
1.8091,0.0000,0.0000,-0.0062,0.1329,1.9914
1.8304,0.0000,0.0000,-0.0100,0.1772,2.0832
1.8517,0.0000,0.0000,-0.0146,0.2157,1.8072
1.8732,0.0000,0.0000,-0.0201,0.2589,2.0123
1.8949,0.0000,0.0000,-0.0265,0.2948,1.6551
1.9162,0.0000,0.0000,-0.0339,0.3487,2.5288
1.9381,0.0000,0.0000,-0.0422,0.3783,1.3500
1.9597,0.0000,0.0000,-0.0516,0.4327,2.5198
1.9808,0.0000,0.0000,-0.0617,0.4791,2.2019
2.0019,0.0000,0.0000,-0.0726,0.5154,1.7140
2.0232,0.0000,0.0000,-0.0839,0.5320,0.7821
2.0443,0.0000,0.0000,-0.0948,0.5148,-0.8138
2.0654,0.0000,0.0000,-0.1050,0.4827,-1.5190
2.0868,0.0000,0.0000,-0.1140,0.4243,-2.7314
2.1077,0.0000,0.0000,-0.1223,0.3975,-1.2853
2.1289,0.0000,0.0000,-0.1297,0.3458,-2.4367
2.1501,0.0000,0.0000,-0.1362,0.3072,-1.8221
2.1714,0.0000,0.0000,-0.1419,0.2679,-1.8439
2.1928,0.0000,0.0000,-0.1467,0.2254,-1.9902
2.2138,0.0000,0.0000,-0.1506,0.1868,-1.8381
2.2347,0.0000,0.0000,-0.1536,0.1447,-2.0126
2.2561,0.0000,0.0000,-0.1557,0.0954,-2.2990
2.2772,0.0000,0.0000,-0.1569,0.0574,-1.8052
2.2988,0.0000,0.0000,-0.1574,0.0223,-1.6229
2.3202,0.0000,0.0000,-0.1575,0.0045,-0.8296
2.3413,0.0000,0.0000,-0.1575,0.0009,-0.1700
2.3638,0.0000,0.0000,-0.1575,0.0002,-0.0330
2.3853,0.0016,0.0000,-0.1575,0.0743,3.4466
2.4074,0.0077,0.0000,-0.1575,0.2759,9.1459
2.4289,0.0195,0.0000,-0.1575,0.5461,12.5334
2.4504,0.0365,0.0000,-0.1575,0.7913,11.4164
2.4721,0.0567,0.0000,-0.1575,0.9358,6.6666
2.4935,0.0777,0.0000,-0.1575,0.9798,2.0536
2.5149,0.0988,0.0000,-0.1575,0.9865,0.3137
2.5360,0.1198,0.0000,-0.1575,0.9969,0.4890
2.5572,0.1407,0.0000,-0.1575,0.9800,-0.7904
2.5789,0.1615,0.0000,-0.1575,0.9615,-0.8592
2.6006,0.1828,0.0000,-0.1575,0.9797,0.8423
