time_s,x_mm,y_mm,z_mm
11.561146259307861,0.0,0.0,0.0
11.582580327987671,0.0,0.0,-0.0004
11.604864835739136,0.0,0.0,-0.00152
11.626128673553467,0.0,0.0,-0.0037440000000000004
11.64807915687561,0.0,0.0,-0.0067488
11.669933795928955,0.0,0.0,-0.01070976
11.692148447036743,0.0,0.0,-0.015581952000000001
11.714189052581787,0.0,0.0,-0.0215163904
11.736398458480835,0.0,0.0,-0.02838327808
11.758086919784546,0.0,0.0,-0.036236655616
11.780630826950073,0.0,0.0,-0.04492733112320001
11.80184030532837,0.0,0.0,-0.054825466224640004
11.823647260665894,0.0,0.0,-0.065205093244928
11.845425844192505,0.0,0.0,-0.0766410186489856
11.86855411529541,0.0,0.0,-0.08820820372979712
11.890485525131226,0.0,0.0,-0.09956164074595944
11.912457942962646,0.0,0.0,-0.1095923281491919
11.934551477432251,0.0,0.0,-0.11863846562983837
11.957086086273193,0.0,0.0,-0.1267676931259677
11.978945016860962,0.0,0.0,-0.13399353862519356
12.000885248184204,0.0,0.0,-0.14015870772503872
12.022169828414917,0.0,0.0,-0.14547174154500775
12.04339861869812,0.0,0.0,-0.14965434830900154
12.064587116241455,0.0,0.0,-0.15289086966180032
12.087597846984863,0.0,0.0,-0.15521817393236007
12.109269142150879,0.0,0.0,-0.15680363478647202
12.131610870361328,0.0,0.0,-0.15736072695729442
12.153269290924072,0.0,0.0,-0.15747214539145887
12.175418376922607,0.0,0.0,-0.15749442907829178
12.199303150177002,0.0,0.0,-0.15749888581565835
12.221047639846802,0.0017600000000000003,0.0,-0.15749977716313168
12.242720365524292,0.008432,0.0,-0.15749995543262635
12.264759540557861,0.0204064,0.0,-0.15749999108652527
12.286160230636597,0.03800128,0.0,-0.15749999821730506
12.308732271194458,0.058400256000000005,0.0,-0.157499999643461
12.330589771270752,0.0801600512,0.0,-0.1574999999286922
12.352604389190674,0.10179201024000001,0.0,-0.15749999998573844
12.374391317367554,0.12339840204800001,0.0,-0.1574999999971477
12.396184921264648,0.1448396804096,0.0,-0.15749999999942954
12.41902756690979,0.16640793608192,0.0,-0.1574999999998859
12.441892385482788,0.18872158721638402,0.0,-0.15749999999997719
12.46405839920044,0.21110431744327682,0.0,-0.15749999999999545
12.485967636108398,0.23294086348865536,0.0,-0.15749999999999909
12.509108781814575,0.2545881726977311,0.0,-0.1574999999999998
12.530942440032959,0.27707763453954626,0.0,-0.15749999999999997
12.552632093429565,0.29869552690790924,0.0,-0.1575
12.574441194534302,0.32013910538158186,0.0,-0.1575
12.595875978469849,0.34154782107631637,0.0,-0.1575
12.617801427841187,0.3627095642152633,0.0,-0.1575
12.639532089233398,0.3841419128430527,0.0,-0.1575
12.66208553314209,0.4055483825686106,0.0,-0.1575
12.684644222259521,0.42758967651372215,0.0,-0.1575
12.706376791000366,0.44967793530274447,0.0,-0.1575
12.728127717971802,0.47121558706054895,0.0,-0.1575
12.75003719329834,0.4926431174121098,0.0,-0.1575
12.771687746047974,0.5142086234824219,0.0,-0.1575
12.793431520462036,0.5354817246964844,0.0,-0.1575
12.815619230270386,0.5569363449392969,0.0,-0.1575
12.837824583053589,0.5787472689878594,0.0,-0.1575
12.859551906585693,0.6004694537975719,0.0,-0.1575
12.880846977233887,0.6218538907595144,0.0,-0.1575
12.902979135513306,0.6430107781519029,0.0,-0.1575
12.924582719802856,0.6645221556303806,0.0,-0.1575
12.94629693031311,0.6858644311260762,0.0,-0.1575
12.968342304229736,0.7072528862252153,0.0,-0.1575
12.990111589431763,0.728890577245043,0.0,-0.1575
13.011852025985718,0.7503381154490087,0.0,-0.1575
13.034634828567505,0.7715876230898018,0.0,-0.1575
13.056568145751953,0.7937575246179603,0.0,-0.1575
13.07853102684021,0.8155515049235922,0.0,-0.1575
13.101495504379272,0.8371103009847185,0.0,-0.1575
13.12315034866333,0.8595820601969437,0.0,-0.1575
13.144886016845703,0.8810364120393888,0.0,-0.1575
13.167606830596924,0.9025272824078778,0.0,-0.1575
13.189960718154907,0.9245854564815756,0.0,-0.1575
13.211305618286133,0.9465970912963152,0.0,-0.1575
13.233216524124146,0.9677994182592631,0.0,-0.1575
13.255350112915039,0.9892398836518527,0.0,-0.1575
13.277259111404419,1.0109679767303705,0.0,-0.1575
13.298848390579224,1.0325135953460742,0.0,-0.1575
13.320698499679565,1.053862719069215,0.0,-0.1575
13.342960357666016,1.075332543813843,0.0,-0.1575
13.365641593933105,1.0970665087627687,0.0,-0.1575
13.387473583221436,1.1193333017525537,0.0,-0.1575
13.409493923187256,1.140906660350511,0.0,-0.1575
13.431125402450562,1.1625013320701023,0.0,-0.1575
13.452982902526855,1.1841802664140206,0.0,-0.1575
13.474810361862183,1.2054760532828044,0.0,-0.1575
13.496220827102661,1.226855210656561,0.0,-0.1575
13.51832914352417,1.2479310421313123,0.0,-0.1575
13.540387868881226,1.2695862084262626,0.0,-0.1575
13.562083959579468,1.2911972416852526,0.0,-0.1575
13.584635496139526,1.3126394483370505,0.0,-0.1575
13.606446027755737,1.3346878896674101,0.0,-0.1575
13.62818193435669,1.356217577933482,0.0,-0.1575
13.650283813476562,1.3776435155866964,0.0,-0.1575
13.671712636947632,1.3992887031173393,0.0,-0.1575
13.693399906158447,1.420497740623468,0.0,-0.1575
13.715100526809692,1.4417795481246936,0.0,-0.1575
13.736940860748291,1.4630759096249388,0.0,-0.1575
13.75931167602539,1.484535181924988,0.0,-0.1575
13.781060695648193,1.5064270363849976,0.0,-0.1575
13.80333685874939,1.5278454072769996,0.0,-0.1575
13.825169563293457,1.5496490814554,0.0,-0.1575
13.846837520599365,1.5712098162910801,0.0,-0.1575
13.869106769561768,1.5925619632582162,0.0,-0.1575
13.890758514404297,1.6143523926516434,0.0,-0.1575
13.912297248840332,1.6357504785303287,0.0,-0.1575
13.935618877410889,1.656990095706066,0.0,-0.1575
13.957695007324219,1.6795580191412132,0.0,-0.1575
13.979653596878052,1.7014316038282427,0.0,-0.1575
14.000794887542725,1.7231663207656487,0.0,-0.1575
14.022894859313965,1.74407326415313,0.0,-0.1575
14.044482946395874,1.765614652830626,0.0,-0.1575
14.066558837890625,1.7869629305661252,0.0,-0.1575
14.08817458152771,1.808592586113225,0.0,-0.1575
14.109671115875244,1.8299585172226451,0.0,-0.1575
14.131909370422363,1.8511117034445292,0.0,-0.1575
14.154459238052368,1.873102340688906,0.0,-0.1575
14.176265716552734,1.8950204681377814,0.0,-0.1575
14.198357105255127,1.9165240936275563,0.0,-0.1575
14.220566749572754,1.9381048187255114,0.0,-0.1575
14.241935729980469,1.9599409637451024,0.0,-0.1575
14.264910221099854,1.9811881927490205,0.0,-0.1575
14.2864248752594,2.003437638549804,0.0,-0.1575
14.307950496673584,2.024767527709961,0.0,-0.1575
14.329847812652588,2.0459935055419924,0.0,-0.1575
14.351300954818726,2.0674387011083986,0.0,-0.1575
14.372265338897705,2.08860774022168,0.0,-0.1575
14.393514633178711,2.109561548044336,0.0,-0.1575
14.415624618530273,2.1303123096088674,0.0,-0.1575
14.438688516616821,2.151822461921774,0.0,-0.1575
14.460463285446167,2.1742844923843547,0.0,-0.1575
14.482188701629639,2.195896898476871,0.0,-0.1575
14.505691528320312,2.2173393796953746,0.0,-0.1575
14.527596712112427,2.240027875939075,0.0,-0.1575
14.549423217773438,2.261765575187815,0.0,-0.1575
14.57220721244812,2.2833931150375633,0.0,-0.1575
14.594185829162598,2.305558623007513,0.0,-0.1575
14.616268396377563,2.327351724601503,0.0,-0.1575
14.639604806900024,2.3490703449203005,0.0,-0.1575
14.661620855331421,2.37165406898406,0.0,-0.1575
14.683194160461426,2.3935308137968123,0.0,-0.1575
14.70517611503601,2.414946162759363,0.0,-0.1575
14.726922035217285,2.436429232551873,0.0,-0.1575
14.749433755874634,2.4578458465103745,0.0,-0.1575
14.77147388458252,2.4798891693020746,0.0,-0.1575
14.793476581573486,2.501577833860415,0.0,-0.1575
14.815412759780884,2.5232755667720834,0.0,-0.1575
14.837407350540161,2.5448151133544163,0.0,-0.1575
14.859266996383667,2.5664830226708832,0.0,-0.1575
14.88058614730835,2.588016604534177,0.0,-0.1575
14.902359247207642,2.6090433209068356,0.0,-0.1575
14.923721313476562,2.6303686641813675,0.0,-0.1575
