time_s,cx_px,cy_px,tx_mm,ty_mm,tz_mm,tag_side_px
2.2660672664642334,411.75,132.5,0.0,0.0,0.0,78.85268
2.3830366134643555,411.75,132.5,0.0,0.0,0.0,78.85268
2.406449317932129,411.75,132.5,0.0,0.0,0.0,78.85268
2.426530599594116,411.75,132.5,0.0,0.0,0.0,78.85268
2.4456186294555664,411.75,132.25,0.0,0.020294678815896403,-0.00016957475273590895,78.60463
2.4665415287017822,411.5,132.25,-0.01715182205687546,0.03399174102107248,-0.00015511195177514948,78.843
2.4895384311676025,411.75,132.25,-0.014697060908115775,0.04409118861721039,-0.00027453366642222956,78.60463
2.5121078491210938,411.75,132.5,-0.01279648463179183,0.0383894651996715,-0.00024796844014548695,78.85268
2.533494472503662,411.75,132.5,-0.01124361934175918,0.033730874102922304,-0.00022560850595873305,78.85268
2.556490421295166,411.75,132.25,-0.009919837115088067,0.04178064233317403,-0.0003160365945512044,78.60463
2.5770366191864014,411.75,132.5,-0.008754344379181543,0.03728141246917846,-0.00029147058694494875,78.85268
2.5966193675994873,411.5,132.25,-0.01901072111975658,0.04452492503469947,-0.00027339301393629643,78.843
2.617448568344116,411.75,132.25,-0.017255950524747616,0.05113976077358162,-0.0003502782176229864,78.60463
2.6408305168151855,411.75,132.25,-0.01560945123330349,0.057229700215258306,-0.0004210902052782817,78.60463
2.660207748413086,411.75,132.25,-0.014054606086715181,0.0628548360424039,-0.00048694370248962603,78.60463
2.680241107940674,411.75,132.25,-0.012583708880168468,0.06804957051270563,-0.0005486485259223071,78.60463
2.703671455383301,411.25,132.5,-0.03318123588577236,0.06184097104536457,-0.0005117083793076621,78.86524
2.7252602577209473,411.75,132.25,-0.03052551085122476,0.06690432230808233,-0.0005707748407421872,78.60463
2.745783805847168,411.5,132.0,-0.03894665545537259,0.0825618842437355,-0.0004521976483677512,79.09047
2.768533229827881,411.75,132.25,-0.03581513722754213,0.08617971644543715,-0.0005126330379274785,78.60463
2.7909154891967773,411.75,132.5,-0.03281262207534124,0.07851685492513977,-0.00048130036503003993,78.85268
2.8138914108276367,411.75,132.25,-0.029953096539822366,0.08211891590426676,-0.0005400756713819901,78.60463
2.835895538330078,411.75,132.25,-0.027246452270214917,0.08538659438236687,-0.0005964119811065299,78.60463
2.8586881160736084,411.5,132.25,-0.03540773381799646,0.08833848727750981,-0.0005645511746902021,78.843
2.8783326148986816,411.75,132.25,-0.03234960290502904,0.09099499176966194,-0.0006193874238359774,78.60463
2.897439479827881,411.75,132.25,-0.02947897523700131,0.0933775299022444,-0.000671854106754128,78.60463
2.91658353805542,411.75,132.25,-0.02679469457946016,0.09550785020558976,-0.0007219512787648544,78.60463
2.9361088275909424,411.25,132.5,-0.04475538883834282,0.08717611825929125,-0.00067580008343925,78.86524
2.9571516513824463,411.75,132.25,-0.04116784864774034,0.08949664309605326,-0.0007248301641163084,78.60463
2.9772684574127197,411.75,132.5,-0.03781529094009148,0.08165315527422792,-0.000682356979706106,78.85268
2.995818853378296,411.75,132.5,-0.0346887348030387,0.07435986566610826,-0.0006412507204168025,78.85268
3.015127658843994,411.75,132.5,-0.03177767716286256,0.06758838872183784,-0.0006015691078571952,78.85268
3.0346438884735107,411.75,132.25,-0.029070680948254633,0.07078391401866314,-0.0006517110202906693,78.60463
3.0562031269073486,411.5,132.5,-0.0358729038205339,0.06441045877091468,-0.0005150723179676215,79.126305
3.0755927562713623,411.75,132.5,-0.03299956982535352,0.05850024786832847,-0.0004802628549647258,78.85268
3.094331741333008,411.5,132.25,-0.039327898789278115,0.06202360155380156,-0.0004503462788535996,78.843
3.1140801906585693,411.25,132.5,-0.054026524999592665,0.05644100866678024,-0.00041403788368603284,78.86524
3.1328160762786865,411.75,132.5,-0.050258212667559365,0.05126134740618337,-0.0003837519840202523,78.85268
3.152533531188965,411.75,132.0,-0.04673882378609725,0.06353390390116218,-0.00035404179520168015,78.855225
3.1710853576660156,411.75,132.25,-0.04345187462864458,0.06654572328836672,-0.00041127764462855907,78.60463
3.1902613639831543,411.75,132.25,-0.04038163620952806,0.06934133383497007,-0.0004658229514846754,78.60463
3.210062026977539,411.75,132.5,-0.03751320522079773,0.06383798342324985,-0.00043454155530099387,78.85268
3.2314558029174805,411.75,132.5,-0.034832539347918974,0.05870620486894024,-0.0004047555404449034,78.85268
3.250401258468628,411.75,132.5,-0.03232646618343355,0.053919152600838134,-0.00037641744914172136,78.85268
3.2699153423309326,411.5,132.25,-0.03766879678934568,0.057137953949719905,-0.0003526238280807418,78.843
3.288100004196167,411.75,132.5,-0.03509957964622861,0.05259091604482316,-0.0003269055451631051,78.85268
3.3112294673919678,411.75,132.25,-0.03269168580766514,0.055767117544780524,-0.0003817773403273461,78.60463
3.330716848373413,411.75,132.25,-0.030433867531393034,0.058741339157945244,-0.0004340247415249516,78.60463
3.351984739303589,411.5,132.25,-0.03549663924175184,0.06152785954261297,-0.0004091222421781792,78.843
3.3720154762268066,411.25,132.25,-0.04730374166738914,0.06413990119923912,-0.00030122752773221654,79.11661
3.391702175140381,411.75,132.25,-0.04448504207571736,0.06658969961625105,-0.00035488205010380776,78.60463
3.4112884998321533,411.75,132.5,-0.04182971909271624,0.06205309361638604,-0.00033084258740730083,78.85268
3.4299116134643555,411.75,132.25,-0.03932691186546452,0.06451139885283644,-0.00038231269946548206,78.60463
3.4503345489501953,411.75,132.25,-0.036966540428390746,0.06682331841816323,-0.0004313595477748766,78.60463
3.4687745571136475,411.75,132.25,-0.03473925178172155,0.06899875248968862,-0.000478091938715865,78.60463
3.4877095222473145,411.5,132.25,-0.03905284233936057,0.07104686245190317,-0.0004535471312663562,78.843
3.506075620651245,411.75,132.25,-0.03680129107102014,0.07297612725067516,-0.0004984273455345826,78.60463
3.523050546646118,410.75,131.25,-0.05956581011254079,0.09968847677408452,-0.0005412073279217739,78.60463
3.5400142669677734,410.25,131.5,-0.09333759182338436,0.11879734352352626,-0.0006529857161356163,78.35268
3.5568857192993164,410.75,131.5,-0.11318816706656247,0.13685990916595717,-0.0006207300326830811,78.85268
3.579129934310913,410.25,131.5,-0.1438674063228128,0.1539423097623391,-0.0007271811114493139,78.35268
3.5969996452331543,410.5,131.5,-0.16704083527432714,0.17010594125330608,-0.0007636826890711971,78.59161
3.61434268951416,411.5,132.25,-0.165844661601958,0.1680542167606152,-0.0007217921265738158,78.87825
3.6354293823242188,411.75,132.5,-0.15897716664787231,0.1603812419483982,-0.0006884334567686754,78.85268
3.654390811920166,411.75,132.0,-0.15242988420166442,0.16432486882256958,-0.0006558215978337899,78.855225
3.6720058917999268,411.25,132.5,-0.15728061021209494,0.15695607955107302,-0.000622001935765421,78.86524
3.689002513885498,411.75,132.5,-0.1509225872049829,0.14993155460305324,-0.0005928105212775637,78.85268
3.7074570655822754,411.5,132.0,-0.1502514055098767,0.15403251171703355,-0.0005050643638397363,79.09047
3.727654457092285,411.75,132.5,-0.144262103678977,0.147262444762832,-0.0004801525861490848,78.85268
3.7448511123657227,411.75,132.25,-0.13853679409238626,0.14605823676111318,-0.0003945195064050696,79.10393
3.761272430419922,411.75,132.25,-0.13306122930862233,0.1448966698426553,-0.00043425701735972646,78.60463
3.779226541519165,411.75,132.5,-0.12782206107019287,0.13864889412953624,-0.00041231620545177487,78.85268
3.7981655597686768,411.25,132.25,-0.1329321694105549,0.13773672731867667,-0.00032850139973216385,79.11661
3.8200910091400146,411.75,132.0,-0.12779739856515865,0.14185477295405677,-0.00030961945843441295,78.855225
3.838498592376709,411.75,132.5,-0.12287697996615524,0.13590055169350063,-0.0002921144179018437,78.85268
3.858699083328247,411.5,132.25,-0.12303947827551269,0.13507708208704208,-0.00027756875559926914,78.843
3.877230167388916,411.75,132.5,-0.11836138165266472,0.12945830131639313,-0.00026141020484006804,78.85268
3.8950116634368896,411.75,132.5,-0.11387250217961939,0.12407163000621495,-0.00024591157253697326,78.85268
3.9126505851745605,411.75,132.5,-0.10956341675867406,0.11890540186845162,-0.00023104272791338862,78.85268
3.932955265045166,411.75,132.25,-0.10542525849499873,0.11860399727807887,-0.0002719206268043614,78.60463
3.9524688720703125,411.75,132.25,-0.1014496794628917,0.11830878515364009,-0.00031126012379696785,78.60463
3.9693973064422607,411.75,132.5,-0.09762881620530259,0.11346854545412267,-0.0002951012311095058,78.85268
3.985875368118286,411.5,132.0,-0.09845594503162788,0.11781978660702906,-0.00022710634541602708,79.09751
4.003021955490112,411.75,132.5,-0.09479173839994007,0.11308874468776342,-0.00021359692162428894,78.85268
4.0203564167022705,411.75,132.25,-0.09126587620042297,0.11294283578228138,-0.0002530314420103325,78.60463
4.039444923400879,411.75,132.25,-0.08787192641242493,0.11279783121104847,-0.00018690305954632196,79.10393
