time_s,x_mm,y_mm,z_mm,velocity_mms,acceleration_mms2
2.2191,0.0000,0.0000,0.0000,0.0151,1.6497
2.2403,0.0000,0.0000,-0.0003,0.0151,1.6497
2.2620,0.0000,0.0000,-0.0014,0.0509,1.6497
2.2837,0.0000,0.0000,-0.0034,0.0913,1.8650
2.3070,0.0000,0.0000,-0.0064,0.1268,1.5205
2.3292,0.0000,0.0000,-0.0104,0.1818,2.4786
2.3509,0.0000,0.0000,-0.0154,0.2315,2.2814
2.3725,0.0000,0.0000,-0.0212,0.2701,1.7958
2.3936,0.0000,0.0000,-0.0279,0.3158,2.1598
2.4146,0.0000,0.0000,-0.0354,0.3571,1.9689
2.4364,0.0000,0.0000,-0.0436,0.3766,0.8909
2.4579,0.0000,0.0000,-0.0530,0.4381,2.8650
2.4790,0.0000,0.0000,-0.0632,0.4838,2.1706
2.5005,0.0000,0.0000,-0.0743,0.5144,1.4168
2.5227,0.0000,0.0000,-0.0858,0.5186,0.1905
2.5444,0.0000,0.0000,-0.0969,0.5109,-0.3543
2.5656,0.0000,0.0000,-0.1070,0.4748,-1.7032
2.5873,0.0000,0.0000,-0.1160,0.4173,-2.6496
2.6088,0.0000,0.0000,-0.1243,0.3848,-1.5118
2.6317,0.0000,0.0000,-0.1317,0.3211,-2.7853
2.6529,0.0000,0.0000,-0.1383,0.3137,-0.3506
2.6744,0.0000,0.0000,-0.1437,0.2526,-2.8496
2.6965,0.0000,0.0000,-0.1482,0.2006,-2.3468
2.7191,0.0000,0.0000,-0.1519,0.1636,-1.6432
2.7404,0.0000,0.0000,-0.1547,0.1319,-1.4830
2.7620,0.0000,0.0000,-0.1565,0.0817,-2.3242
2.7835,0.0000,0.0000,-0.1573,0.0388,-1.9986
2.8050,0.0000,0.0000,-0.1575,0.0077,-1.4426
2.8263,0.0000,0.0000,-0.1575,0.0016,-0.2899
2.8481,0.0000,0.0000,-0.1575,0.0003,-0.0578
2.8709,0.0000,0.0000,-0.1575,0.0001,-0.0108
2.8940,0.0013,0.0000,-0.1575,0.0554,2.3978
2.9155,0.0071,0.0000,-0.1575,0.2719,10.0502
2.9376,0.0182,0.0000,-0.1575,0.5032,10.4947
2.9591,0.0352,0.0000,-0.1575,0.7887,13.2927
2.9800,0.0554,0.0000,-0.1575,0.9648,8.4163
3.0026,0.0760,0.0000,-0.1575,0.9105,-2.3998
3.0240,0.0978,0.0000,-0.1575,1.0216,5.1885
3.0453,0.1191,0.0000,-0.1575,1.0008,-0.9791
3.0667,0.1400,0.0000,-0.1575,0.9731,-1.2919
3.0881,0.1610,0.0000,-0.1575,0.9855,0.5803
3.1098,0.1820,0.0000,-0.1575,0.9688,-0.7689
3.1315,0.2034,0.0000,-0.1575,0.9818,0.6000
3.1533,0.2246,0.0000,-0.1575,0.9725,-0.4281
3.1747,0.2461,0.0000,-0.1575,1.0064,1.5864
3.1966,0.2672,0.0000,-0.1575,0.9655,-1.8712
3.2183,0.2888,0.0000,-0.1575,0.9953,1.3708
3.2398,0.3100,0.0000,-0.1575,0.9837,-0.5364
3.2611,0.3312,0.0000,-0.1575,0.9941,0.4868
3.2822,0.3522,0.0000,-0.1575,0.9956,0.0722
3.3035,0.3729,0.0000,-0.1575,0.9743,-0.9988
3.3246,0.3939,0.0000,-0.1575,0.9914,0.8079
3.3459,0.4147,0.0000,-0.1575,0.9774,-0.6547
3.3671,0.4356,0.0000,-0.1575,0.9845,0.3314
3.3885,0.4564,0.0000,-0.1575,0.9736,-0.5074
3.4104,0.4774,0.0000,-0.1575,0.9622,-0.5219
3.4317,0.4988,0.0000,-0.1575,1.0045,1.9838
3.4534,0.5198,0.0000,-0.1575,0.9679,-1.6873
3.4746,0.5412,0.0000,-0.1575,1.0045,1.7278
3.4963,0.5622,0.0000,-0.1575,0.9690,-1.6410
3.5180,0.5834,0.0000,-0.1575,0.9778,0.4045
3.5396,0.6047,0.0000,-0.1575,0.9871,0.4315
3.5608,0.6259,0.0000,-0.1575,1.0005,0.6295
3.5823,0.6469,0.0000,-0.1575,0.9756,-1.1566
3.6037,0.6679,0.0000,-0.1575,0.9786,0.1388
3.6248,0.6890,0.0000,-0.1575,1.0013,1.0747
3.6468,0.7099,0.0000,-0.1575,0.9527,-2.2172
3.6681,0.7314,0.0000,-0.1575,1.0076,2.5671
3.6891,0.7524,0.0000,-0.1575,0.9982,-0.4460
3.7103,0.7730,0.0000,-0.1575,0.9754,-1.0759
3.7321,0.7939,0.0000,-0.1575,0.9577,-0.8150
3.7548,0.8152,0.0000,-0.1575,0.9382,-0.8599
3.7769,0.8373,0.0000,-0.1575,0.9982,2.7112
3.7997,0.8593,0.0000,-0.1575,0.9663,-1.3983
3.8227,0.8814,0.0000,-0.1575,0.9608,-0.2403
3.8448,0.9040,0.0000,-0.1575,1.0211,2.7264
3.8674,0.9258,0.0000,-0.1575,0.9634,-2.5515
3.8894,0.9480,0.0000,-0.1575,1.0099,2.1170
3.9105,0.9697,0.0000,-0.1575,1.0300,0.9561
3.9316,0.9906,0.0000,-0.1575,0.9883,-1.9735
3.9533,1.0115,0.0000,-0.1575,0.9644,-1.1034
3.9747,1.0327,0.0000,-0.1575,0.9906,1.2231
3.9963,1.0538,0.0000,-0.1575,0.9782,-0.5758
4.0181,1.0750,0.0000,-0.1575,0.9717,-0.2961
4.0396,1.0964,0.0000,-0.1575,0.9926,0.9698
4.0611,1.1176,0.0000,-0.1575,0.9888,-0.1754
4.0823,1.1386,0.0000,-0.1575,0.9928,0.1861
4.1033,1.1596,0.0000,-0.1575,1.0010,0.3925
4.1250,1.1802,0.0000,-0.1575,0.9513,-2.2954
4.1462,1.2015,0.0000,-0.1575,1.0000,2.2941
4.1683,1.2224,0.0000,-0.1575,0.9472,-2.3961
4.1898,1.2439,0.0000,-0.1575,1.0000,2.4522
4.2111,1.2652,0.0000,-0.1575,0.9982,-0.0813
4.2321,1.2862,0.0000,-0.1575,1.0021,0.1832
4.2535,1.3069,0.0000,-0.1575,0.9686,-1.5684
4.2754,1.3279,0.0000,-0.1575,0.9571,-0.5225
4.2972,1.3493,0.0000,-0.1575,0.9814,1.1147
4.3194,1.3707,0.0000,-0.1575,0.9668,-0.6588
4.3428,1.3925,0.0000,-0.1575,0.9263,-1.7295
4.3653,1.4152,0.0000,-0.1575,1.0113,3.7805
4.3881,1.4374,0.0000,-0.1575,0.9740,-1.6350
4.4109,1.4600,0.0000,-0.1575,0.9904,0.7218
4.4327,1.4822,0.0000,-0.1575,1.0193,1.3220
4.4540,1.5040,0.0000,-0.1575,1.0224,0.1454
4.4755,1.5250,0.0000,-0.1575,0.9791,-2.0128
4.4983,1.5461,0.0000,-0.1575,0.9259,-2.3353
4.5197,1.5683,0.0000,-0.1575,1.0344,5.0733
