time_s,cx_px,cy_px,tx_mm,ty_mm,tz_mm
2.1746,445.50,269.00,0.0000,0.0000,75.5200
2.2502,445.50,269.00,0.0000,-0.0000,75.5200
2.2815,445.50,269.00,0.0000,-0.0000,75.5200
2.3113,445.50,269.00,0.0000,-0.0000,75.5200
2.3379,445.50,269.25,0.0000,-0.0993,75.2651
2.3614,445.75,269.75,0.0993,-0.2979,75.0300
2.3826,445.50,269.75,0.0000,-0.2979,75.2683
2.4031,445.50,270.25,0.0000,-0.4966,75.2846
2.4240,445.75,270.75,0.0993,-0.6952,75.0300
2.4459,445.25,271.50,-0.0993,-0.9931,74.7718
2.4671,445.50,272.00,0.0000,-1.1917,75.0300
2.4905,445.75,273.00,0.0993,-1.5890,74.7950
2.5120,445.75,273.75,0.0993,-1.8869,74.5432
2.5320,445.25,274.00,-0.0993,-1.9862,74.7817
2.5523,445.75,274.00,0.0993,-1.9862,74.7849
2.5730,445.50,275.50,0.0000,-2.5821,74.5303
2.5945,445.75,276.00,0.0993,-2.7807,74.7849
2.6156,445.25,276.50,-0.0993,-2.9793,74.2821
2.6351,446.25,277.25,0.2979,-3.2773,74.0301
2.6546,445.75,277.50,0.0993,-3.3766,74.2955
2.6757,445.50,277.75,0.0000,-3.4759,74.2852
2.6961,445.75,278.00,0.0993,-3.5752,74.2786
2.7179,445.75,278.50,0.0993,-3.7738,74.2955
2.7380,445.75,279.00,0.0993,-3.9725,73.7961
2.7576,445.50,278.75,0.0000,-3.8731,73.7962
2.7766,445.50,278.75,0.0000,-3.8731,73.2961
2.7961,445.75,279.25,0.0993,-4.0718,73.5641
2.8171,445.50,278.75,0.0000,-3.8731,73.2961
2.8366,445.50,279.25,0.0000,-4.0718,73.2968
2.8575,445.50,279.00,0.0000,-3.9725,73.0451
2.8784,445.50,279.00,0.0000,-3.9725,73.5479
2.8978,445.75,278.75,0.0993,-3.8731,73.0308
2.9184,446.00,279.00,0.1986,-3.9725,73.5308
2.9412,446.25,279.00,0.2979,-3.9725,73.7824
2.9620,447.50,279.25,0.7945,-4.0718,73.3027
2.9812,447.75,279.00,0.8938,-3.9725,73.7961
3.0009,449.25,279.00,1.4897,-3.9725,73.2688
3.0215,451.00,279.00,2.1849,-3.9725,73.5308
3.0607,453.00,279.00,2.9793,-3.9725,73.5308
3.0808,455.00,279.00,3.7738,-3.9725,73.0337
3.1004,455.75,279.00,4.0718,-3.9725,73.2825
3.1206,456.50,278.75,4.3697,-3.8731,73.2859
3.1417,459.00,279.00,5.3628,-3.9725,73.5308
3.1629,460.25,279.00,5.8594,-3.9725,73.7788
3.1842,461.25,279.25,6.2566,-4.0718,73.5438
3.2066,462.50,279.25,6.7532,-4.0718,73.7887
3.2276,463.50,279.25,7.1504,-4.0718,73.7887
3.2467,465.75,279.00,8.0442,-3.9725,73.7688
3.2693,467.00,279.25,8.5408,-4.0718,73.7787
3.2916,468.25,279.25,9.0373,-4.0718,73.5438
3.3118,469.00,279.25,9.3353,-4.0718,73.7787
3.3322,471.25,279.50,10.2291,-4.1711,73.7956
3.3528,472.75,279.25,10.8250,-4.0718,73.5304
3.3767,473.25,279.50,11.0236,-4.1711,73.2859
3.3989,475.00,279.25,11.7188,-4.0718,73.2956
3.4209,476.75,279.00,12.4139,-3.9725,73.7720
3.4422,476.50,278.25,12.3146,-3.6745,73.7686
3.4634,477.50,278.75,12.7119,-3.8731,74.2755
3.4881,479.00,278.50,13.3077,-3.7738,74.0304
