time_s,x_mm,y_mm,z_mm,velocity_mms,acceleration_mms2
1.6087,0.0000,0.0000,0.0000,0.0149,1.5896
1.6301,0.0000,0.0000,-0.0003,0.0149,1.5896
1.6512,0.0000,0.0000,-0.0013,0.0485,1.5896
1.6726,0.0000,0.0000,-0.0032,0.0883,1.8675
1.6941,0.0000,0.0000,-0.0060,0.1293,1.9048
1.7152,0.0000,0.0000,-0.0097,0.1736,2.0958
1.7369,0.0000,0.0000,-0.0143,0.2116,1.7542
1.7581,0.0000,0.0000,-0.0198,0.2614,2.3476
1.7796,0.0000,0.0000,-0.0262,0.2972,1.6610
1.8008,0.0000,0.0000,-0.0335,0.3438,2.2026
1.8225,0.0000,0.0000,-0.0416,0.3734,1.3659
1.8435,0.0000,0.0000,-0.0508,0.4374,3.0373
1.8648,0.0000,0.0000,-0.0607,0.4671,1.3948
1.8860,0.0000,0.0000,-0.0715,0.5080,1.9287
1.9075,0.0000,0.0000,-0.0829,0.5278,0.9223
1.9288,0.0000,0.0000,-0.0939,0.5204,-0.3501
1.9503,0.0000,0.0000,-0.1041,0.4749,-2.1154
1.9713,0.0000,0.0000,-0.1136,0.4514,-1.1172
1.9926,0.0000,0.0000,-0.1218,0.3857,-3.0859
2.0139,0.0000,0.0000,-0.1293,0.3510,-1.6278
2.0351,0.0000,0.0000,-0.1359,0.3093,-1.9733
2.0562,0.0000,0.0000,-0.1416,0.2699,-1.8630
2.0776,0.0000,0.0000,-0.1464,0.2254,-2.0791
2.0988,0.0000,0.0000,-0.1504,0.1893,-1.7085
2.1205,0.0000,0.0000,-0.1534,0.1400,-2.2670
2.1414,0.0000,0.0000,-0.1556,0.1053,-1.6550
2.1628,0.0000,0.0000,-0.1569,0.0582,-2.2097
2.1839,0.0000,0.0000,-0.1574,0.0231,-1.6623
2.2051,0.0000,0.0000,-0.1575,0.0046,-0.8743
2.2264,0.0000,0.0000,-0.1575,0.0009,-0.1731
2.2492,0.0000,0.0000,-0.1575,0.0002,-0.0326
2.2709,0.0017,0.0000,-0.1575,0.0775,3.5685
2.2922,0.0080,0.0000,-0.1575,0.2979,10.3628
2.3132,0.0194,0.0000,-0.1575,0.5431,11.6531
2.3347,0.0360,0.0000,-0.1575,0.7689,10.5083
2.3557,0.0561,0.0000,-0.1575,0.9583,9.0255
2.3771,0.0767,0.0000,-0.1575,0.9615,0.1516
2.3985,0.0977,0.0000,-0.1575,0.9789,0.8114
2.4203,0.1187,0.0000,-0.1575,0.9661,-0.5889
2.4416,0.1401,0.0000,-0.1575,1.0060,1.8752
2.4631,0.1611,0.0000,-0.1575,0.9768,-1.3644
2.4845,0.1821,0.0000,-0.1575,0.9839,0.3320
2.5059,0.2031,0.0000,-0.1575,0.9801,-0.1758
2.5271,0.2243,0.0000,-0.1575,0.9965,0.7712
2.5482,0.2452,0.0000,-0.1575,0.9905,-0.2835
2.5694,0.2660,0.0000,-0.1575,0.9829,-0.3616
2.5909,0.2868,0.0000,-0.1575,0.9677,-0.7066
2.6124,0.3078,0.0000,-0.1575,0.9798,0.5665
2.6339,0.3289,0.0000,-0.1575,0.9794,-0.0204
2.6559,0.3500,0.0000,-0.1575,0.9585,-0.9492
2.6775,0.3716,0.0000,-0.1575,1.0012,1.9782
2.6989,0.3930,0.0000,-0.1575,0.9968,-0.2017
2.7210,0.4140,0.0000,-0.1575,0.9523,-2.0104
2.7421,0.4357,0.0000,-0.1575,1.0253,3.4520
2.7637,0.4565,0.0000,-0.1575,0.9655,-2.7742
2.7850,0.4777,0.0000,-0.1575,0.9952,1.3984
2.8061,0.4987,0.0000,-0.1575,0.9926,-0.1249
2.8276,0.5194,0.0000,-0.1575,0.9655,-1.2629
2.8486,0.5405,0.0000,-0.1575,1.0047,1.8663
2.8697,0.5612,0.0000,-0.1575,0.9800,-1.1674
2.8912,0.5820,0.0000,-0.1575,0.9673,-0.5902
2.9125,0.6031,0.0000,-0.1575,0.9913,1.1235
2.9338,0.6241,0.0000,-0.1575,0.9840,-0.3399
2.9552,0.6450,0.0000,-0.1575,0.9787,-0.2490
2.9764,0.6660,0.0000,-0.1575,0.9921,0.6285
2.9979,0.6869,0.0000,-0.1575,0.9701,-1.0219
3.0192,0.7079,0.0000,-0.1575,0.9856,0.7269
3.0405,0.7290,0.0000,-0.1575,0.9915,0.2782
3.0617,0.7500,0.0000,-0.1575,0.9868,-0.2223
3.0828,0.7710,0.0000,-0.1575,0.9943,0.3547
3.1045,0.7916,0.0000,-0.1575,0.9534,-1.8878
3.1257,0.8127,0.0000,-0.1575,0.9958,2.0020
3.1470,0.8337,0.0000,-0.1575,0.9880,-0.3640
3.1687,0.8547,0.0000,-0.1575,0.9646,-1.0811
3.1900,0.8759,0.0000,-0.1575,0.9977,1.5579
3.2112,0.8969,0.0000,-0.1575,0.9883,-0.4431
3.2321,0.9178,0.0000,-0.1575,1.0004,0.5761
3.2535,0.9384,0.0000,-0.1575,0.9617,-1.8064
3.2747,0.9594,0.0000,-0.1575,0.9876,1.2187
3.2960,0.9803,0.0000,-0.1575,0.9833,-0.2018
3.3176,1.0012,0.0000,-0.1575,0.9700,-0.6203
3.3390,1.0223,0.0000,-0.1575,0.9868,0.7842
3.3603,1.0433,0.0000,-0.1575,0.9884,0.0771
3.3815,1.0643,0.0000,-0.1575,0.9868,-0.0729
3.4028,1.0852,0.0000,-0.1575,0.9788,-0.3776
3.4242,1.1061,0.0000,-0.1575,0.9757,-0.1457
3.4457,1.1271,0.0000,-0.1575,0.9837,0.3762
3.4669,1.1482,0.0000,-0.1575,0.9921,0.3963
3.4883,1.1691,0.0000,-0.1575,0.9750,-0.8005
3.5101,1.1901,0.0000,-0.1575,0.9659,-0.4173
3.5317,1.2115,0.0000,-0.1575,0.9901,1.1187
3.5529,1.2328,0.0000,-0.1575,1.0028,0.6009
3.5741,1.2537,0.0000,-0.1575,0.9866,-0.7686
3.5952,1.2746,0.0000,-0.1575,0.9894,0.1341
3.6163,1.2954,0.0000,-0.1575,0.9847,-0.2213
3.6378,1.3162,0.0000,-0.1575,0.9714,-0.6212
3.6593,1.3372,0.0000,-0.1575,0.9741,0.1237
3.6810,1.3583,0.0000,-0.1575,0.9719,-0.1024
3.7022,1.3797,0.0000,-0.1575,1.0114,1.8733
3.7232,1.4004,0.0000,-0.1575,0.9881,-1.1082
3.7448,1.4211,0.0000,-0.1575,0.9557,-1.4966
3.7663,1.4423,0.0000,-0.1575,0.9851,1.3694
3.7878,1.4635,0.0000,-0.1575,0.9851,-0.0034
3.8093,1.4846,0.0000,-0.1575,0.9859,0.0372
3.8307,1.5057,0.0000,-0.1575,0.9822,-0.1714
3.8518,1.5268,0.0000,-0.1575,1.0021,0.9442
3.8731,1.5476,0.0000,-0.1575,0.9773,-1.1642
3.8942,1.5685,0.0000,-0.1575,0.9869,0.4517
3.9157,1.5893,0.0000,-0.1575,0.9697,-0.7994
3.9372,1.6104,0.0000,-0.1575,0.9818,0.5616
3.9582,1.6315,0.0000,-0.1575,1.0069,1.1979
3.9798,1.6522,0.0000,-0.1575,0.9572,-2.2991
4.0006,1.6733,0.0000,-0.1575,1.0117,2.6134
4.0219,1.6940,0.0000,-0.1575,0.9725,-1.8394
4.0433,1.7149,0.0000,-0.1575,0.9778,0.2450
4.0645,1.7358,0.0000,-0.1575,0.9817,0.1849
4.0861,1.7567,0.0000,-0.1575,0.9702,-0.5350
4.1077,1.7778,0.0000,-0.1575,0.9760,0.2698
4.1292,1.7992,0.0000,-0.1575,0.9954,0.9051
4.1505,1.8202,0.0000,-0.1575,0.9869,-0.3988
4.1718,1.8413,0.0000,-0.1575,0.9948,0.3702
4.1934,1.8622,0.0000,-0.1575,0.9626,-1.4856
4.2147,1.8834,0.0000,-0.1575,0.9949,1.5155
