time_s,x_mm,y_mm,z_mm,velocity_mms,acceleration_mms2
0.0237,0.0000,0.0000,0.0000,0.0056,0.7166
0.0452,0.0000,0.0000,-0.0001,0.0056,0.7166
0.0666,0.0000,0.0000,-0.0006,0.0208,0.7166
0.0881,0.0000,0.0000,-0.0015,0.0450,1.1235
0.1099,0.0000,0.0000,-0.0031,0.0738,1.3198
0.1313,0.0000,0.0000,-0.0055,0.1090,1.6451
0.1528,0.0000,0.0000,-0.0086,0.1439,1.6235
0.1743,0.0000,0.0000,-0.0125,0.1822,1.7822
0.1961,0.0000,0.0000,-0.0172,0.2176,1.6227
0.2174,0.0000,0.0000,-0.0229,0.2640,2.1777
0.2392,0.0000,0.0000,-0.0294,0.2985,1.5872
0.2605,0.0000,0.0000,-0.0368,0.3475,2.2937
0.2820,0.0000,0.0000,-0.0451,0.3866,1.8237
0.3030,0.0000,0.0000,-0.0542,0.4349,2.2934
0.3246,0.0000,0.0000,-0.0642,0.4626,1.2810
0.3459,0.0000,0.0000,-0.0752,0.5136,2.3953
0.3672,0.0000,0.0000,-0.0870,0.5552,1.9553
0.3883,0.0000,0.0000,-0.0995,0.5941,1.8469
0.4099,0.0000,0.0000,-0.1124,0.5996,0.2505
0.4313,0.0000,0.0000,-0.1258,0.6269,1.2791
0.4528,0.0000,0.0000,-0.1395,0.6331,0.2866
0.4744,0.0000,0.0000,-0.1533,0.6420,0.4125
0.4958,0.0000,0.0000,-0.1673,0.6538,0.5536
0.5171,0.0000,0.0000,-0.1814,0.6625,0.4059
0.5383,0.0000,0.0000,-0.1956,0.6656,0.1495
0.5595,0.0000,0.0000,-0.2097,0.6654,-0.0085
0.5810,0.0000,0.0000,-0.2238,0.6582,-0.3358
0.6026,0.0000,0.0000,-0.2380,0.6548,-0.1577
0.6238,0.0000,0.0000,-0.2522,0.6739,0.9019
0.6449,0.0000,0.0000,-0.2665,0.6714,-0.1157
0.6663,0.0000,0.0000,-0.2806,0.6649,-0.3079
0.6878,0.0000,0.0000,-0.2948,0.6589,-0.2783
0.7092,0.0000,0.0000,-0.3090,0.6642,0.2469
0.7304,0.0000,0.0000,-0.3233,0.6704,0.2931
0.7518,0.0000,0.0000,-0.3375,0.6635,-0.3204
0.7731,0.0000,0.0000,-0.3517,0.6696,0.2832
0.7942,0.0000,0.0000,-0.3659,0.6723,0.1314
0.8158,0.0000,0.0000,-0.3801,0.6569,-0.7174
0.8371,0.0000,0.0000,-0.3943,0.6674,0.4921
0.8587,0.0000,0.0000,-0.4085,0.6593,-0.3762
0.8802,0.0000,0.0000,-0.4228,0.6642,0.2291
0.9020,0.0000,0.0000,-0.4371,0.6549,-0.4250
0.9232,0.0000,0.0000,-0.4514,0.6773,1.0547
0.9447,0.0000,0.0000,-0.4657,0.6629,-0.6657
0.9661,0.0000,0.0000,-0.4800,0.6660,0.1438
0.9875,0.0000,0.0000,-0.4943,0.6714,0.2513
1.0089,0.0000,0.0000,-0.5085,0.6640,-0.3447
1.0301,0.0000,0.0000,-0.5228,0.6749,0.5154
1.0514,0.0000,0.0000,-0.5371,0.6684,-0.3032
1.0731,0.0000,0.0000,-0.5513,0.6559,-0.5792
1.0942,0.0000,0.0000,-0.5655,0.6728,0.8007
1.1154,0.0000,0.0000,-0.5798,0.6743,0.0704
1.1365,0.0000,0.0000,-0.5939,0.6719,-0.1179
1.1576,0.0000,0.0000,-0.6081,0.6690,-0.1363
1.1788,0.0000,0.0000,-0.6222,0.6640,-0.2350
1.2002,0.0000,0.0000,-0.6363,0.6626,-0.0657
1.2219,0.0000,0.0000,-0.6505,0.6514,-0.5152
1.2436,0.0000,0.0000,-0.6647,0.6579,0.3026
1.2647,0.0000,0.0000,-0.6790,0.6779,0.9446
1.2860,0.0000,0.0000,-0.6933,0.6688,-0.4239
1.3074,0.0000,0.0000,-0.7075,0.6608,-0.3762
1.3292,0.0000,0.0000,-0.7217,0.6539,-0.3150
1.3507,0.0000,0.0000,-0.7360,0.6680,0.6577
1.3721,0.0000,0.0000,-0.7503,0.6680,-0.0013
1.3934,0.0000,0.0000,-0.7647,0.6716,0.1701
1.4145,0.0000,0.0000,-0.7789,0.6763,0.2214
1.4359,0.0000,0.0000,-0.7931,0.6625,-0.6418
1.4571,0.0000,0.0000,-0.8074,0.6734,0.5138
1.4783,0.0000,0.0000,-0.8216,0.6677,-0.2676
1.5003,0.0000,0.0000,-0.8357,0.6442,-1.0676
1.5217,0.0000,0.0000,-0.8501,0.6707,1.2409
1.5429,0.0000,0.0000,-0.8644,0.6749,0.1954
1.5642,0.0000,0.0000,-0.8786,0.6689,-0.2814
1.5856,0.0000,0.0000,-0.8928,0.6619,-0.3267
1.6070,0.0000,0.0000,-0.9071,0.6684,0.3074
1.6286,0.0000,0.0000,-0.9213,0.6575,-0.5022
1.6499,0.0000,0.0000,-0.9356,0.6719,0.6770
1.6711,0.0000,0.0000,-0.9498,0.6683,-0.1692
1.6928,0.0000,0.0000,-0.9640,0.6567,-0.5348
1.7145,0.0000,0.0000,-0.9783,0.6591,0.1069
1.7364,0.0000,0.0000,-0.9927,0.6570,-0.0924
1.7581,0.0000,0.0000,-1.0071,0.6622,0.2372
1.7799,0.0000,0.0000,-1.0215,0.6622,-0.0020
1.8013,0.0000,0.0000,-1.0360,0.6766,0.6782
1.8230,0.0000,0.0000,-1.0504,0.6626,-0.6480
1.8444,0.0000,0.0000,-1.0648,0.6728,0.4762
1.8656,0.0000,0.0000,-1.0791,0.6793,0.3086
1.8875,0.0000,0.0000,-1.0934,0.6505,-1.3132
1.9094,0.0000,0.0000,-1.1078,0.6562,0.2607
1.9305,0.0000,0.0000,-1.1222,0.6841,1.3233
1.9523,0.0000,0.0000,-1.1366,0.6587,-1.1686
1.9732,0.0000,0.0000,-1.1509,0.6881,1.4074
1.9943,0.0000,0.0000,-1.1652,0.6744,-0.6495
2.0157,0.0000,0.0000,-1.1794,0.6653,-0.4241
2.0372,0.0000,0.0000,-1.1936,0.6604,-0.2278
2.0593,0.0000,0.0000,-1.2078,0.6420,-0.8327
2.0806,0.0000,0.0000,-1.2222,0.6769,1.6396
2.1020,0.0000,0.0000,-1.2366,0.6688,-0.3745
2.1237,0.0000,0.0000,-1.2508,0.6576,-0.5196
2.1448,0.0000,0.0000,-1.2652,0.6807,1.0961
2.1668,0.0000,0.0000,-1.2795,0.6487,-1.4538
