time_s,x_mm,y_mm,z_mm,velocity_mms,acceleration_mms2
0.0238,0.0000,0.0000,0.0000,0.0056,0.7406
0.0454,0.0000,0.0000,-0.0001,0.0056,0.7406
0.0664,0.0000,0.0000,-0.0006,0.0211,0.7406
0.0877,0.0000,0.0000,-0.0015,0.0456,1.1491
0.1088,0.0000,0.0000,-0.0031,0.0747,1.3752
0.1301,0.0000,0.0000,-0.0054,0.1070,1.5183
0.1516,0.0000,0.0000,-0.0084,0.1409,1.5786
0.1733,0.0000,0.0000,-0.0123,0.1784,1.7314
0.1946,0.0000,0.0000,-0.0170,0.2200,1.9504
0.2162,0.0000,0.0000,-0.0225,0.2553,1.6336
0.2377,0.0000,0.0000,-0.0289,0.3005,2.1028
0.2594,0.0000,0.0000,-0.0363,0.3379,1.7218
0.2815,0.0000,0.0000,-0.0445,0.3737,1.6236
0.3029,0.0000,0.0000,-0.0538,0.4318,2.7200
0.3255,0.0000,0.0000,-0.0639,0.4457,0.6142
0.3470,0.0000,0.0000,-0.0751,0.5196,3.4268
0.3686,0.0000,0.0000,-0.0871,0.5600,1.8756
0.3903,0.0000,0.0000,-0.0998,0.5852,1.1609
0.4115,0.0000,0.0000,-0.1131,0.6262,1.9400
0.4327,0.0000,0.0000,-0.1266,0.6356,0.4403
0.4541,0.0000,0.0000,-0.1403,0.6401,0.2086
0.4755,0.0000,0.0000,-0.1542,0.6484,0.3894
0.4971,0.0000,0.0000,-0.1682,0.6472,-0.0547
0.5183,0.0000,0.0000,-0.1823,0.6660,0.8846
0.5393,0.0000,0.0000,-0.1964,0.6711,0.2450
0.5606,0.0000,0.0000,-0.2105,0.6635,-0.3569
0.5818,0.0000,0.0000,-0.2245,0.6636,0.0039
0.6027,0.0000,0.0000,-0.2387,0.6744,0.5125
0.6242,0.0000,0.0000,-0.2527,0.6554,-0.8845
0.6457,0.0000,0.0000,-0.2668,0.6571,0.0814
0.6669,0.0000,0.0000,-0.2810,0.6676,0.4935
0.6885,0.0000,0.0000,-0.2952,0.6559,-0.5406
0.7102,0.0000,0.0000,-0.3095,0.6579,0.0926
0.7313,0.0000,0.0000,-0.3237,0.6772,0.9149
0.7529,0.0000,0.0000,-0.3380,0.6603,-0.7864
0.7744,0.0000,0.0000,-0.3522,0.6601,-0.0080
0.7960,0.0000,0.0000,-0.3665,0.6620,0.0879
0.8173,0.0000,0.0000,-0.3809,0.6752,0.6189
0.8388,0.0000,0.0000,-0.3951,0.6615,-0.6342
0.8603,0.0000,0.0000,-0.4094,0.6653,0.1756
0.8818,0.0000,0.0000,-0.4237,0.6660,0.0326
0.9035,0.0000,0.0000,-0.4380,0.6576,-0.3851
0.9253,0.0000,0.0000,-0.4524,0.6610,0.1596
0.9468,0.0000,0.0000,-0.4668,0.6681,0.3285
0.9680,0.0000,0.0000,-0.4811,0.6781,0.4724
0.9894,0.0000,0.0000,-0.4954,0.6677,-0.4867
1.0108,0.0000,0.0000,-0.5097,0.6675,-0.0113
1.0319,0.0000,0.0000,-0.5240,0.6782,0.5098
1.0531,0.0000,0.0000,-0.5382,0.6691,-0.4305
1.0748,0.0000,0.0000,-0.5524,0.6549,-0.6529
1.0961,0.0000,0.0000,-0.5667,0.6668,0.5578
1.1175,0.0000,0.0000,-0.5809,0.6685,0.0795
1.1386,0.0000,0.0000,-0.5951,0.6718,0.1543
1.1602,0.0000,0.0000,-0.6093,0.6584,-0.6183
1.1816,0.0000,0.0000,-0.6236,0.6645,0.2803
1.2031,0.0000,0.0000,-0.6379,0.6663,0.0864
1.2245,0.0000,0.0000,-0.6521,0.6650,-0.0595
1.2459,0.0000,0.0000,-0.6664,0.6682,0.1485
1.2675,0.0000,0.0000,-0.6807,0.6607,-0.3460
1.2887,0.0000,0.0000,-0.6950,0.6749,0.6709
1.3099,0.0000,0.0000,-0.7092,0.6687,-0.2922
1.3317,0.0000,0.0000,-0.7234,0.6545,-0.6539
1.3531,0.0000,0.0000,-0.7377,0.6663,0.5520
1.3751,0.0000,0.0000,-0.7520,0.6501,-0.7383
1.3964,0.0000,0.0000,-0.7664,0.6753,1.1850
1.4178,0.0000,0.0000,-0.7807,0.6708,-0.2136
1.4391,0.0000,0.0000,-0.7951,0.6730,0.1065
1.4606,0.0000,0.0000,-0.8093,0.6638,-0.4288
1.4823,0.0000,0.0000,-0.8236,0.6594,-0.2029
1.5035,0.0000,0.0000,-0.8380,0.6740,0.6876
1.5250,0.0000,0.0000,-0.8522,0.6640,-0.4696
1.5461,0.0000,0.0000,-0.8665,0.6785,0.6900
1.5674,0.0000,0.0000,-0.8807,0.6659,-0.5910
1.5886,0.0000,0.0000,-0.8949,0.6714,0.2587
1.6101,0.0000,0.0000,-0.9091,0.6606,-0.5011
1.6314,0.0000,0.0000,-0.9233,0.6660,0.2536
1.6532,0.0000,0.0000,-0.9375,0.6502,-0.7248
1.6749,0.0000,0.0000,-0.9519,0.6612,0.5106
1.6964,0.0000,0.0000,-0.9662,0.6676,0.2948
1.7180,0.0000,0.0000,-0.9806,0.6653,-0.1062
1.7394,0.0000,0.0000,-0.9949,0.6715,0.2902
1.7611,0.0000,0.0000,-1.0092,0.6581,-0.6171
1.7824,0.0000,0.0000,-1.0236,0.6743,0.7624
1.8039,0.0000,0.0000,-1.0379,0.6660,-0.3865
1.8254,0.0000,0.0000,-1.0522,0.6633,-0.1276
1.8467,0.0000,0.0000,-1.0665,0.6755,0.5782
1.8679,0.0000,0.0000,-1.0808,0.6731,-0.1151
1.8889,0.0000,0.0000,-1.0950,0.6743,0.0581
1.9101,0.0000,0.0000,-1.1092,0.6690,-0.2501
1.9316,0.0000,0.0000,-1.1234,0.6586,-0.4838
1.9526,0.0000,0.0000,-1.1376,0.6775,0.9026
1.9743,0.0000,0.0000,-1.1517,0.6495,-1.2912
1.9958,0.0000,0.0000,-1.1659,0.6618,0.5712
2.0172,0.0000,0.0000,-1.1802,0.6670,0.2441
2.0384,0.0000,0.0000,-1.1944,0.6726,0.2643
2.0598,0.0000,0.0000,-1.2087,0.6668,-0.2685
2.0814,0.0000,0.0000,-1.2229,0.6563,-0.4858
2.1026,0.0000,0.0000,-1.2372,0.6724,0.7542
2.1241,0.0000,0.0000,-1.2514,0.6638,-0.4004
2.1459,0.0000,0.0000,-1.2656,0.6534,-0.4744
2.1677,0.0000,0.0000,-1.2800,0.6573,0.1777
2.1896,0.0000,0.0000,-1.2944,0.6595,0.0995
2.2109,0.0000,0.0000,-1.3088,0.6776,0.8495
2.2321,0.0000,0.0000,-1.3232,0.6781,0.0229
2.2536,0.0000,0.0000,-1.3375,0.6633,-0.6877
2.2750,0.0000,0.0000,-1.3518,0.6678,0.2130
2.2966,0.0000,0.0000,-1.3661,0.6630,-0.2208
2.3178,0.0000,0.0000,-1.3805,0.6761,0.6150
2.3394,0.0000,0.0000,-1.3947,0.6620,-0.6553
2.3615,0.0000,0.0000,-1.4090,0.6459,-0.7303
2.3829,0.0000,0.0000,-1.4234,0.6714,1.1931
2.4042,0.0000,0.0000,-1.4378,0.6769,0.2582
2.4255,0.0000,0.0000,-1.4521,0.6714,-0.2603
2.4470,0.0000,0.0000,-1.4664,0.6645,-0.3206
2.4681,0.0000,0.0000,-1.4807,0.6771,0.5968
2.4895,0.0000,0.0000,-1.4949,0.6665,-0.4964
2.5117,0.0000,0.0000,-1.5091,0.6388,-1.2423
2.5337,0.0000,0.0000,-1.5235,0.6545,0.7103
2.5552,0.0000,0.0000,-1.5380,0.6742,0.9176
2.5766,0.0000,0.0000,-1.5524,0.6755,0.0613
2.5982,0.0000,0.0000,-1.5668,0.6652,-0.4784
2.6197,0.0000,0.0000,-1.5812,0.6680,0.1335
2.6411,0.0000,0.0000,-1.5955,0.6692,0.0530
2.6623,0.0000,0.0000,-1.6099,0.6758,0.3117
2.6839,0.0000,0.0000,-1.6241,0.6620,-0.6371
2.7053,0.0000,0.0000,-1.6385,0.6697,0.3568
2.7263,0.0000,0.0000,-1.6527,0.6805,0.5184
2.7479,0.0000,0.0000,-1.6669,0.6558,-1.1403
2.7697,0.0000,0.0000,-1.6812,0.6546,-0.0539
2.7914,0.0000,0.0000,-1.6955,0.6597,0.2331
2.8130,0.0000,0.0000,-1.7099,0.6668,0.3306
2.8351,0.0000,0.0000,-1.7243,0.6503,-0.7486
2.8560,0.0000,0.0000,-1.7387,0.6918,1.9835
2.8778,0.0000,0.0000,-1.7530,0.6573,-1.5871
2.8992,0.0000,0.0000,-1.7674,0.6720,0.6905
2.9204,0.0000,0.0000,-1.7818,0.6736,0.0711
2.9420,0.0000,0.0000,-1.7961,0.6646,-0.4162
2.9632,0.0000,0.0000,-1.8103,0.6735,0.4203
2.9840,0.0000,0.0000,-1.8246,0.6825,0.4324
3.0058,0.0000,0.0000,-1.8387,0.6493,-1.5226
