time_s,x_mm,y_mm,z_mm,velocity_mms,acceleration_mms2
2.1612,1.3760,0.0000,-0.1575,0.9609,-0.4879
2.1827,1.3972,0.0000,-0.1575,0.9881,1.2688
2.2039,1.4184,0.0000,-0.1575,0.9967,0.4033
2.2251,1.4395,0.0000,-0.1575,0.9975,0.0394
2.2462,1.4605,0.0000,-0.1575,0.9934,-0.1976
2.2678,1.4814,0.0000,-0.1575,0.9666,-1.2376
2.2891,1.5025,0.0000,-0.1575,0.9917,1.1826
2.3106,1.5235,0.0000,-0.1575,0.9764,-0.7106
2.3322,1.5445,0.0000,-0.1575,0.9722,-0.1913
2.3536,1.5656,0.0000,-0.1575,0.9879,0.7312
2.3750,1.5867,0.0000,-0.1575,0.9826,-0.2448
2.3963,1.6078,0.0000,-0.1575,0.9885,0.2774
2.4174,1.6288,0.0000,-0.1575,0.9978,0.4398
2.4388,1.6498,0.0000,-0.1575,0.9828,-0.7043
2.4601,1.6707,0.0000,-0.1575,0.9796,-0.1508
2.4817,1.6917,0.0000,-0.1575,0.9760,-0.1662
2.5030,1.7128,0.0000,-0.1575,0.9841,0.3780
2.5246,1.7338,0.0000,-0.1575,0.9773,-0.3147
2.5458,1.7549,0.0000,-0.1575,0.9922,0.7010
2.5674,1.7758,0.0000,-0.1575,0.9723,-0.9185
2.5887,1.7969,0.0000,-0.1575,0.9891,0.7867
2.6103,1.8179,0.0000,-0.1575,0.9740,-0.6994
2.6316,1.8391,0.0000,-0.1575,0.9915,0.8218
2.6535,1.8601,0.0000,-0.1575,0.9577,-1.5415
2.6745,1.8814,0.0000,-0.1575,1.0127,2.6251
2.6962,1.9024,0.0000,-0.1575,0.9714,-1.9065
2.7177,1.9235,0.0000,-0.1575,0.9790,0.3536
2.7391,1.9446,0.0000,-0.1575,0.9899,0.5088
2.7602,1.9657,0.0000,-0.1575,0.9999,0.4729
2.7817,1.9867,0.0000,-0.1575,0.9761,-1.1060
2.8034,2.0077,0.0000,-0.1575,0.9670,-0.4189
2.8247,2.0288,0.0000,-0.1575,0.9895,1.0563
2.8458,2.0499,0.0000,-0.1575,1.0030,0.6423
2.8672,2.0709,0.0000,-0.1575,0.9796,-1.0962
2.8884,2.0919,0.0000,-0.1575,0.9908,0.5281
2.9096,2.1128,0.0000,-0.1575,0.9862,-0.2159
2.9309,2.1338,0.0000,-0.1575,0.9812,-0.2330
2.9526,2.1547,0.0000,-0.1575,0.9676,-0.6294
2.9741,2.1757,0.0000,-0.1575,0.9773,0.4514
2.9956,2.1968,0.0000,-0.1575,0.9799,0.1212
3.0170,2.2179,0.0000,-0.1575,0.9853,0.2501
3.0385,2.2389,0.0000,-0.1575,0.9797,-0.2619
3.0599,2.2600,0.0000,-0.1575,0.9849,0.2441
3.0812,2.2811,0.0000,-0.1575,0.9877,0.1321
3.1024,2.3022,0.0000,-0.1575,0.9958,0.3835
3.1237,2.3231,0.0000,-0.1575,0.9833,-0.5864
3.1448,2.3441,0.0000,-0.1575,0.9963,0.6145
3.1658,2.3650,0.0000,-0.1575,0.9954,-0.0404
3.1874,2.3858,0.0000,-0.1575,0.9623,-1.5304
3.2089,2.4068,0.0000,-0.1575,0.9731,0.5021
3.2299,2.4278,0.0000,-0.1575,1.0016,1.3578
3.2509,2.4487,0.0000,-0.1575,0.9991,-0.1234
3.2722,2.4696,0.0000,-0.1575,0.9778,-0.9972
3.2934,2.4904,0.0000,-0.1575,0.9849,0.3366
3.3144,2.5113,0.0000,-0.1575,0.9894,0.2150
3.3353,2.5321,0.0000,-0.1575,0.9962,0.3250
3.3565,2.5528,0.0000,-0.1575,0.9751,-0.9940
3.3780,2.5735,0.0000,-0.1575,0.9672,-0.3697
3.3995,2.5944,0.0000,-0.1575,0.9703,0.1459
3.4210,2.6153,0.0000,-0.1575,0.9744,0.1909
3.4428,2.6364,0.0000,-0.1575,0.9687,-0.2633
3.4643,2.6576,0.0000,-0.1575,0.9812,0.5820
3.4853,2.6787,0.0000,-0.1575,1.0039,1.0761
3.5066,2.6997,0.0000,-0.1575,0.9863,-0.8251
3.5281,2.7206,0.0000,-0.1575,0.9749,-0.5310
3.5496,2.7417,0.0000,-0.1575,0.9762,0.0594
3.5706,2.7627,0.0000,-0.1575,1.0071,1.4803
3.5923,2.7836,0.0000,-0.1575,0.9628,-2.0422
3.6134,2.8047,0.0000,-0.1575,0.9949,1.5191
3.6345,2.8256,0.0000,-0.1575,0.9912,-0.1755
3.6557,2.8465,0.0000,-0.1575,0.9875,-0.1723
3.6769,2.8674,0.0000,-0.1575,0.9864,-0.0529
3.6981,2.8882,0.0000,-0.1575,0.9841,-0.1081
3.7197,2.9091,0.0000,-0.1575,0.9656,-0.8575
3.7412,2.9301,0.0000,-0.1575,0.9769,0.5259
3.7626,2.9511,0.0000,-0.1575,0.9789,0.0916
3.7837,2.9722,0.0000,-0.1575,0.9978,0.8986
3.8053,2.9931,0.0000,-0.1575,0.9705,-1.2655
3.8267,3.0141,0.0000,-0.1575,0.9827,0.5696
3.8480,3.0352,0.0000,-0.1575,0.9885,0.2724
3.8696,3.0562,0.0000,-0.1575,0.9733,-0.7036
3.8914,3.0773,0.0000,-0.1575,0.9676,-0.2602
3.9127,3.0986,0.0000,-0.1575,0.9980,1.4231
3.9342,3.1197,0.0000,-0.1575,0.9812,-0.7856
3.9557,3.1408,0.0000,-0.1575,0.9819,0.0356
3.9772,3.1619,0.0000,-0.1575,0.9801,-0.0861
3.9985,3.1830,0.0000,-0.1575,0.9914,0.5315
4.0200,3.2041,0.0000,-0.1575,0.9829,-0.3967
4.0413,3.2251,0.0000,-0.1575,0.9865,0.1705
4.0624,3.2462,0.0000,-0.1575,0.9974,0.5164
4.0842,3.2671,0.0000,-0.1575,0.9631,-1.5751
4.1058,3.2882,0.0000,-0.1575,0.9795,0.7613
4.1272,3.3094,0.0000,-0.1575,0.9844,0.2277
