time_s,x_mm,y_mm,z_mm,velocity_mms,acceleration_mms2
0.0235,0.0000,0.0000,0.0000,0.0057,0.7072
0.0447,0.0000,0.0000,-0.0001,0.0057,0.7072
0.0661,0.0000,0.0000,-0.0006,0.0208,0.7072
0.0873,0.0000,0.0000,-0.0015,0.0457,1.1747
0.1090,0.0000,0.0000,-0.0031,0.0728,1.2462
0.1306,0.0000,0.0000,-0.0054,0.1070,1.5902
0.1516,0.0000,0.0000,-0.0085,0.1453,1.8205
0.1725,0.0000,0.0000,-0.0123,0.1841,1.8554
0.1941,0.0000,0.0000,-0.0170,0.2147,1.4147
0.2154,0.0000,0.0000,-0.0225,0.2602,2.1405
0.2373,0.0000,0.0000,-0.0289,0.2900,1.3585
0.2591,0.0000,0.0000,-0.0362,0.3367,2.1437
0.2804,0.0000,0.0000,-0.0445,0.3884,2.4254
0.3017,0.0000,0.0000,-0.0536,0.4299,1.9555
0.3232,0.0000,0.0000,-0.0636,0.4617,1.4731
0.3445,0.0000,0.0000,-0.0745,0.5112,2.3203
0.3659,0.0000,0.0000,-0.0862,0.5523,1.9275
0.3873,0.0000,0.0000,-0.0987,0.5838,1.4714
0.4090,0.0000,0.0000,-0.1118,0.6004,0.7645
0.4306,0.0000,0.0000,-0.1252,0.6230,1.0493
0.4527,0.0000,0.0000,-0.1390,0.6195,-0.1578
0.4741,0.0000,0.0000,-0.1530,0.6568,1.7425
0.4953,0.0000,0.0000,-0.1671,0.6678,0.5221
0.5164,0.0000,0.0000,-0.1812,0.6672,-0.0293
0.5380,0.0000,0.0000,-0.1953,0.6507,-0.7650
0.5593,0.0000,0.0000,-0.2095,0.6678,0.8047
0.5808,0.0000,0.0000,-0.2236,0.6585,-0.4305
0.6023,0.0000,0.0000,-0.2379,0.6618,0.1526
0.6234,0.0000,0.0000,-0.2521,0.6748,0.6164
0.6448,0.0000,0.0000,-0.2663,0.6651,-0.4558
0.6659,0.0000,0.0000,-0.2806,0.6726,0.3568
0.6872,0.0000,0.0000,-0.2947,0.6657,-0.3229
0.7085,0.0000,0.0000,-0.3089,0.6658,0.0027
