time_s,x_mm,y_mm,z_mm,velocity_mms,acceleration_mms2
0.0238,0.0000,0.0000,0.0000,0.0056,0.7079
0.0453,0.0000,0.0000,-0.0001,0.0056,0.7079
0.0667,0.0000,0.0000,-0.0006,0.0207,0.7079
0.0878,0.0000,0.0000,-0.0015,0.0460,1.1951
0.1091,0.0000,0.0000,-0.0031,0.0744,1.3364
0.1305,0.0000,0.0000,-0.0054,0.1078,1.5623
0.1521,0.0000,0.0000,-0.0085,0.1412,1.5450
0.1737,0.0000,0.0000,-0.0124,0.1797,1.7830
0.1950,0.0000,0.0000,-0.0171,0.2216,1.9688
0.2166,0.0000,0.0000,-0.0226,0.2570,1.6351
0.2382,0.0000,0.0000,-0.0291,0.2989,1.9472
0.2604,0.0000,0.0000,-0.0364,0.3309,1.4353
0.2818,0.0000,0.0000,-0.0448,0.3916,2.8453
0.3030,0.0000,0.0000,-0.0540,0.4325,1.9270
0.3242,0.0000,0.0000,-0.0640,0.4745,1.9791
0.3455,0.0000,0.0000,-0.0749,0.5115,1.7353
0.3670,0.0000,0.0000,-0.0867,0.5476,1.6775
0.3884,0.0000,0.0000,-0.0993,0.5852,1.7593
0.4104,0.0000,0.0000,-0.1123,0.5947,0.4305
0.4328,0.0000,0.0000,-0.1259,0.6051,0.4627
0.4542,0.0000,0.0000,-0.1398,0.6518,2.1820
0.4755,0.0000,0.0000,-0.1539,0.6589,0.3337
0.4967,0.0000,0.0000,-0.1679,0.6637,0.2283
0.5181,0.0000,0.0000,-0.1820,0.6586,-0.2394
0.5395,0.0000,0.0000,-0.1962,0.6606,0.0933
0.5611,0.0000,0.0000,-0.2104,0.6578,-0.1313
0.5824,0.0000,0.0000,-0.2246,0.6677,0.4630
0.6040,0.0000,0.0000,-0.2388,0.6582,-0.4359
0.6253,0.0000,0.0000,-0.2531,0.6701,0.5559
0.6468,0.0000,0.0000,-0.2673,0.6651,-0.2326
0.6677,0.0000,0.0000,-0.2816,0.6786,0.6439
0.6889,0.0000,0.0000,-0.2958,0.6717,-0.3285
0.7102,0.0000,0.0000,-0.3099,0.6631,-0.3998
0.7315,0.0000,0.0000,-0.3241,0.6626,-0.0266
0.7531,0.0000,0.0000,-0.3383,0.6582,-0.2016
0.7746,0.0000,0.0000,-0.3525,0.6610,0.1308
0.7965,0.0000,0.0000,-0.3668,0.6542,-0.3158
0.8176,0.0000,0.0000,-0.3811,0.6804,1.2470
0.8387,0.0000,0.0000,-0.3954,0.6748,-0.2667
0.8602,0.0000,0.0000,-0.4096,0.6597,-0.7020
0.8822,0.0000,0.0000,-0.4238,0.6482,-0.5211
0.9036,0.0000,0.0000,-0.4382,0.6711,1.0693
0.9252,0.0000,0.0000,-0.4525,0.6636,-0.3470
0.9467,0.0000,0.0000,-0.4669,0.6656,0.0924
0.9680,0.0000,0.0000,-0.4812,0.6756,0.4699
0.9891,0.0000,0.0000,-0.4955,0.6746,-0.0479
1.0105,0.0000,0.0000,-0.5097,0.6663,-0.3880
1.0319,0.0000,0.0000,-0.5240,0.6639,-0.1095
1.0532,0.0000,0.0000,-0.5382,0.6695,0.2619
1.0745,0.0000,0.0000,-0.5524,0.6683,-0.0568
1.0956,0.0000,0.0000,-0.5666,0.6725,0.1986
1.1168,0.0000,0.0000,-0.5808,0.6719,-0.0281
1.1379,0.0000,0.0000,-0.5950,0.6689,-0.1408
1.1593,0.0000,0.0000,-0.6091,0.6604,-0.3989
1.1808,0.0000,0.0000,-0.6233,0.6586,-0.0822
1.2023,0.0000,0.0000,-0.6375,0.6584,-0.0135
1.2235,0.0000,0.0000,-0.6517,0.6731,0.6969
1.2449,0.0000,0.0000,-0.6659,0.6640,-0.4245
1.2662,0.0000,0.0000,-0.6801,0.6692,0.2440
1.2876,0.0000,0.0000,-0.6944,0.6628,-0.2970
1.3088,0.0000,0.0000,-0.7086,0.6712,0.3949
1.3303,0.0000,0.0000,-0.7227,0.6569,-0.6649
1.3517,0.0000,0.0000,-0.7370,0.6673,0.4869
1.3729,0.0000,0.0000,-0.7512,0.6705,0.1548
1.3940,0.0000,0.0000,-0.7654,0.6737,0.1521
1.4155,0.0000,0.0000,-0.7796,0.6580,-0.7316
1.4373,0.0000,0.0000,-0.7938,0.6522,-0.2662
1.4585,0.0000,0.0000,-0.8081,0.6756,1.1013
1.4796,0.0000,0.0000,-0.8223,0.6754,-0.0091
1.5010,0.0000,0.0000,-0.8365,0.6624,-0.6075
1.5229,0.0000,0.0000,-0.8507,0.6479,-0.6612
1.5444,0.0000,0.0000,-0.8651,0.6674,0.9092
1.5660,0.0000,0.0000,-0.8794,0.6639,-0.1615
1.5879,0.0000,0.0000,-0.8937,0.6557,-0.3754
1.6092,0.0000,0.0000,-0.9081,0.6747,0.8907
1.6307,0.0000,0.0000,-0.9225,0.6687,-0.2800
1.6521,0.0000,0.0000,-0.9368,0.6698,0.0549
1.6740,0.0000,0.0000,-0.9511,0.6529,-0.7732
1.6954,0.0000,0.0000,-0.9655,0.6717,0.8754
1.7171,0.0000,0.0000,-0.9799,0.6632,-0.3910
1.7384,0.0000,0.0000,-0.9943,0.6742,0.5169
1.7597,0.0000,0.0000,-1.0086,0.6735,-0.0351
1.7811,0.0000,0.0000,-1.0229,0.6655,-0.3712
1.8020,0.0000,0.0000,-1.0371,0.6835,0.8610
1.8234,0.0000,0.0000,-1.0513,0.6621,-0.9965
1.8448,0.0000,0.0000,-1.0655,0.6633,0.0557
1.8659,0.0000,0.0000,-1.0797,0.6752,0.5639
1.8870,0.0000,0.0000,-1.0939,0.6703,-0.2329
1.9086,0.0000,0.0000,-1.1080,0.6522,-0.8342
1.9299,0.0000,0.0000,-1.1222,0.6674,0.7103
1.9513,0.0000,0.0000,-1.1364,0.6649,-0.1134
1.9727,0.0000,0.0000,-1.1506,0.6644,-0.0271
1.9939,0.0000,0.0000,-1.1649,0.6728,0.3998
2.0154,0.0000,0.0000,-1.1791,0.6603,-0.5808
2.0363,0.0000,0.0000,-1.1933,0.6786,0.8717
2.0577,0.0000,0.0000,-1.2075,0.6632,-0.7215
2.0792,0.0000,0.0000,-1.2216,0.6585,-0.2180
2.1007,0.0000,0.0000,-1.2358,0.6595,0.0477
2.1223,0.0000,0.0000,-1.2501,0.6623,0.1271
2.1437,0.0000,0.0000,-1.2644,0.6665,0.1963
2.1655,0.0000,0.0000,-1.2787,0.6553,-0.5139
2.1869,0.0000,0.0000,-1.2930,0.6699,0.6814
2.2083,0.0000,0.0000,-1.3074,0.6711,0.0583
2.2297,0.0000,0.0000,-1.3216,0.6677,-0.1597
2.2508,0.0000,0.0000,-1.3359,0.6765,0.4144
2.2725,0.0000,0.0000,-1.3502,0.6579,-0.8586
2.2938,0.0000,0.0000,-1.3645,0.6706,0.5979
2.3153,0.0000,0.0000,-1.3787,0.6624,-0.3841
2.3364,0.0000,0.0000,-1.3930,0.6738,0.5392
2.3577,0.0000,0.0000,-1.4072,0.6700,-0.1782
2.3788,0.0000,0.0000,-1.4214,0.6711,0.0529
2.4002,0.0000,0.0000,-1.4356,0.6616,-0.4464
2.4215,0.0000,0.0000,-1.4498,0.6684,0.3218
2.4427,0.0000,0.0000,-1.4639,0.6677,-0.0314
2.4639,0.0000,0.0000,-1.4781,0.6680,0.0098
2.4856,0.0000,0.0000,-1.4922,0.6501,-0.8223
2.5071,0.0000,0.0000,-1.5065,0.6649,0.6907
2.5285,0.0000,0.0000,-1.5207,0.6674,0.1183
2.5498,0.0000,0.0000,-1.5350,0.6685,0.0481
2.5710,0.0000,0.0000,-1.5493,0.6714,0.1396
2.5925,0.0000,0.0000,-1.5635,0.6621,-0.4358
2.6141,0.0000,0.0000,-1.5777,0.6606,-0.0681
2.6353,0.0000,0.0000,-1.5920,0.6705,0.4649
